,CompanyName,Rating,TotalReviews,SalaryOffereByComapany,TotalInterviews,Benefits,PhotosOnSite
1337,Dr Mohan's Diabetes Specialities Centre,3.5,216,678,19,14,--
1338,Paramatrix Technologies,3.8,216,564,13,13,--
1339,UGC Supply Chain Solutions,2.9,216,951,7,20,--
1340,Bharat Institutions,3.5,216,176,13,98,--
1341,Shivam Infocom,4.4,215,576,3,15,--
1342,U R Rao Satellite Centre,4.4,216,237,11,2,--
1343,MidasCare Pharmaceuticals,3.5,215,653,13,13,--
1344,Keolis Hyderabad Metro,4,216,883,13,19,--
1345,Netaxis IT Solutions,3.9,215,303,20,107,1
1346,Ananth Technologies,3.9,215,1.2k,15,23,1
1347,FAIRWAY ENTERPRISES,3.9,215,890,16,15,--
1348,Chhatrapati Shivaji International Airport,3.5,215,1.1k,12,24,--
1349,AGROCEL INDUSTRIES,4.3,215,688,18,11,--
1350,Turito,3.2,215,873,25,13,--
1351,RateGain,3.7,215,1.5k,23,19,--
1352,Fibe,3.7,215,1.4k,17,15,6
1353,Aneja Associates,3.3,215,834,17,8,--
1354,Upstox,3.5,215,1.5k,47,15,--
1355,Toppan Merrill,3.8,215,1.5k,24,11,5
1356,REI Systems,4,215,477,38,44,3
1357,Tci Freight,4.1,215,790,14,7,--
1358,Infiiloom ,3.1,215,843,16,13,--
1359,Chhatrapati Shivaji International Airport,3.5,215,1.1k,12,24,--
1360,REI Systems,4,215,478,38,44,3
1361,Tci Freight,4.1,215,790,14,7,--
1362,Fibe,3.7,215,1.4k,17,15,6
1363,RateGain,3.7,215,1.5k,23,19,--
1364,Upstox,3.5,215,1.6k,47,15,--
1365,Toppan Merrill,3.8,215,1.5k,24,11,5
1366,Aneja Associates,3.3,215,835,17,8,--
1367,Jindal Worldwide,3.4,216,1k,10,10,--
1368,Girnar Care,3.5,214,757,19,17,--
1369,Ashok Iron Works,3.3,214,820,13,19,--
1370, EagleBurgmann,4.2,214,1.1k,16,19,--
1371,SBL,3.6,214,845,8,15,--
1372,Bajaj Markets,3,214,1.4k,10,3,--
1373,Jesons Industries,3.4,214,1.1k,17,5,--
1374,C DOT,3.7,214,1.2k,34,19,2
1375,Beri Udyog,3.8,214,821,17,17,4
1376,Ensure Support Services,4.4,214,674,5,26,--
1377,Cordlife Sciences India,3.4,214,574,13,27,--
1378,HEPL - A Cavinkare Group Company,3.4,214,1.1k,31,2,--
1379,Flyhomes,4.3,214,356,2,105,24
1380,Square Bpo Services,3.2,214,765,13,5,7
1381,Third wave Coffee Roasters,3.5,214,875,19,7,--
1382,Quest Global Technologies,3.6,214,1.8k,27,31,1
1383,COWI,4.1,214,673,9,18,--
1384,N.K. Realtors,4.2,214,496,31,17,--
1385,Mold-Tek Technologies,3.2,214,953,12,17,1
1386,NGK Spark Plugs,4.1,214,750,25,40,--
1387,Moody's,3.8,214,1.9k,30,22,6
1388,Elofic Industries,4,213,824,11,12,--
1389,Weatherford,3.5,213,905,16,25,4
1390,Simform,3.6,213,1.5k,49,11,--
1391,Tbea Energy,3.9,213,881,15,28,--
1392,Hyundai Motor India Engineering,3.9,213,1.2k,12,26,--
1393,The House of Abhinandan Lodha,3.4,213,798,44,9,14
1394,Rotostat Services,3.9,213,819,18,16,--
1395,Koye Pharmaceuticals,3.1,213,591,9,18,--
1396,Elsamex Maintenance Services,4.1,213,593,11,22,--
1397,Rohan Motors,3.7,213,720,13,9,--
1398,John Deere Financial,4.2,213,586,14,13,1
1399,John Deere Financial,4.2,213,586,14,13,1
1400,NMIMS,3.7,213,1.2k,22,12,--
1401,Simform,3.6,213,1.5k,49,11,--
1402,Fernandez Hospital,4.4,213,558,6,18,--
1403,Kopran,3.7,213,1.2k,14,15,--
1404,Tbea Energy,3.9,213,881,15,28,--
1405,Fulcrum Digital,3.4,213,1.5k,36,6,--
1406,Zamil Air Conditioners,3.9,212,511,11,34,--
1407,Gensol Engineering,3.7,212,765,16,11,--
1408,CallHealth,3.5,212,817,4,28,--
1409,PES Engineers,4.2,212,750,12,15,1
1410,Govt. Medical College,4.1,212,868,13,14,--
1411, Krishnapatnam Port,3.8,212,726,7,37,--
1412,Deep Industries,3.5,212,997,21,8,--
1413,Mol Information Processing Services India,3.4,212,811,8,28,--
1414,Utkal Alumina International,4.3,212,686,17,15,2
1415,Ziff Davis Performance Marketing,3.6,212,795,4,13,--
1416,Anlage Infotech,3.3,212,796,19,44,--
1417,Aarav Global Products & Services Private Limited,2.9,212,754,14,26,6
1418,Innovalance Learning Systems,3.2,212,371,35,4,--
1419,Career Launcher,3.8,212,1k,8,18,--
1420,Mol Information Processing Services India,3.4,212,811,8,28,--
1421,Deep Industries,3.5,212,997,21,8,--
1422,IDMC,3.6,212,905,7,13,--
1423,Futaba Industrial Gujarat,4.4,212,803,12,9,--
1424,"	NATIONAL SKILL DEVELOPMENT CORPORATION",3.4,212,983,24,12,--
1425,Elin Electronics,3.8,212,736,2,1,--
1426,Groupe Lactalis,3.5,212,856,11,8,--
1427,Shree Vasu Logistics Limited,3.3,212,519,31,18,5
1428,KC Overseas Education,3.6,212,996,18,5,27
1429,iLink Digital,2.9,212,1.9k,24,1,--
1430,Roulunds Braking,3.6,212,794,21,22,--
1431,MMTC-PAMP,3.7,212,835,16,24,--
1432,PES Engineers,4.2,212,748,12,15,1
1433,Pradan,3.8,212,482,18,17,--
1434, Krishnapatnam Port,3.8,212,726,7,37,--
1435,Continental Hospitals,3.9,212,860,14,13,9
1436,FedServ,3.6,212,1.1k,21,5,7
1437,Aarav Global Products & Services Private Limited,2.9,212,754,14,26,6
1438,Zivame.com,3.6,211,1.1k,11,9,3
1439,Country Club India,3.2,211,526,2,17,--
1440,Bioseed,4.1,212,428,15,1,4
1441,Motion Education,3.3,211,938,17,2,5
1442,SCON Projects,4.5,211,655,8,17,--
1443,Network Techlab,3.7,211,995,14,11,--
1444,Colorbar Cosmetics,4.1,211,588,14,16,3
1445,Exponentia.ai,3.8,211,828,22,19,31
1446,Bhima Gold,3.8,211,831,17,16,--
1447, ARaymond,4,211,1.1k,16,14,7
1448,Network Intelligence India,3.1,211,1.3k,20,13,--
1449,Zivame.com,3.6,211,1.1k,11,9,3
1450,Revolt Motors,3.4,211,791,29,6,--
1451,ACME Group,4.6,211,294,31,4,--
1452,ARKA Fincap,4.2,211,636,23,4,1
1453,Alpha Design Technologies,3.6,211,1.2k,15,25,--
1454,Rajesh Motors,3.8,211,661,7,16,1
1455,Fleet Management,4,211,769,21,18,--
1456,SkillVertex,3.3,211,287,17,66,--
1457,Malayala Manorama,3.6,211,1.1k,13,14,--
1458,Country Inns & Suites,4.1,211,637,6,36,1
1459, ARaymond,4,211,1.1k,16,14,7
1460,Six Sigma Soft Solutions,3.5,211,1.3k,22,7,--
1461,Colorbar Cosmetics,4.1,211,588,14,16,3
1462,AARGEE STAFFING SERVICES,3.7,210,665,6,5,--
1463,Shanthi Gears,3.3,210,1.2k,19,21,--
1464,Centrient Pharmaceuticals,3.7,210,1.1k,18,18,--
1465,Lingaya's Vidyapeeth,4.5,210,282,47,3,--
1466,Ichhapurti.com,2.4,210,668,20,43,--
1467,EMCO,3.7,210,608,7,27,--
1468,ACT Plast Paints,3.8,210,803,11,17,1
1469,Commerce Pundit,4.3,210,614,39,18,29
1470,Vinculum Solutions,2.2,211,1.4k,14,24,--
1471,IntelliSmart Infrastructure,3.6,210,821,21,4,3
1472,YouTube,4.5,210,912,11,12,--
1473,Liebherr Appliances India,3.6,210,870,11,15,--
1474,Bhutani Group,4.2,210,745,38,11,3
1475,ICA Pidilite,4.1,210,774,8,8,--
1476,Kh Exports,3.9,210,845,9,18,--
1477,Jagran Prakashan,3.5,210,864,8,12,--
1478,Corrival Corporate Services,4.2,210,513,22,1,--
1479,Gulbrandsen,4.1,210,1.1k,6,31,--
1480,Haldiram's Prabhuji,2.9,210,560,12,10,--
1481,PagarBook,3.6,210,903,20,13,4
1482,Crimson Interactive,2.5,210,1.2k,20,27,--
1483,International Certification Services,3.1,210,775,7,14,--
1484,Ayesa,4,210,638,16,18,--
1485,SAS,4.2,210,1.8k,22,18,--
1486,Vinsum Axpress,3.6,210,548,13,5,--
1487,ITCube Solutions,3,210,1k,16,23,--
1488,MSC Technology India,4,210,1.6k,44,30,8
1489,Aditi Consulting,3.4,210,1k,17,14,5
1490,Wanbury,3.3,210,819,7,23,--
1491,Truemeds,3.5,210,1k,23,4,1
1492,TransPerfect,3,210,1.2k,31,10,--
1493,NuSummit,3.3,210,1.6k,31,7,1
1494,Praxis home Retail,4.1,210,826,7,23,--
1495,Entertainment Network India,3.4,210,1k,9,16,--
1496,Brnd.Me,3.8,211,897,20,6,5
1497,Blackbuck Insights,3.6,210,933,18,6,12
1498,BajajSons,3.6,209,843,10,15,--
1499,Ways2excel,4.5,209,61,7,57,--
1500,Brainium Information Technologies,3.7,209,536,9,20,--
1501,Carzonrent,3.3,209,642,3,10,--
1502,SmartStream Technologies,3.3,209,1.6k,17,15,--
1503,Apex Hospital,4.1,209,856,13,15,1
1504,CodSoft,3.8,209,145,23,--,2
1505,Sri Ramachandra Institute of Higher Education and Research,3.9,209,947,9,7,--
1506,Altum Credo Home Finance,3.8,209,665,9,47,26
1507,The House of Abhinandan Lodha,3.4,213,798,44,9,14
1508,Igarashi Motors,3.8,209,1k,10,6,--
1509,Zen Technologies,4,209,879,26,12,4
1510,Precision Camshafts,3.1,209,764,5,12,--
1511,Pradhan Mantri Kaushal Vikas Yojana,4.1,209,359,7,26,--
1512,Embassy Services,3.9,209,993,12,12,--
1513,Gujarat Narmada Valley Fertilizers & Chemicals,4.3,209,823,12,18,--
1514,Motorola Solutions,3.9,209,1.6k,35,16,--
1515,IFB Automotive,3.8,209,815,7,22,1
1516,Pacific Development Corporation Limited (Pacific Group),3.6,209,1k,19,20,7
1517,Truemeds,3.5,210,1k,23,4,1
1518,Haldiram's Prabhuji,2.9,210,560,12,10,--
1519,Supreme Treon,3.9,209,894,13,20,8
1520,University Living Accommodation,3.9,209,565,25,3,22
1521,SmartWorld Developers,4.1,209,914,18,5,1
1522,CBSI,3.3,208,1.1k,10,21,--
1523,Su-Kam Power Systems,3.4,209,509,6,30,--
1524,InSync Analytics,2.4,208,1.3k,38,14,--
1525,Comcast India Engineering Center,3.7,208,2.4k,61,18,4
1526,Sagitec Solutions,3.3,208,1.6k,23,14,--
1527,OptimHire,3.6,208,814,28,29,--
1528,Air India Express,3.2,208,1.1k,17,15,--
1529,ICE Data Services,3.2,208,1.5k,31,12,3
1530,Praxis home Retail,4.1,210,825,7,23,--
1531,Crossword Bookstores,3.5,209,545,7,10,--
1532,Teleone,3.6,208,709,15,20,--
1533,Vedika Credit Capital,3.4,209,546,5,26,--
1534,Prime Focus,3.9,208,625,1,32,--
1535,Development Consultants,3.3,208,585,12,19,1
1536,Hidesign,3,208,901,17,13,1
1537,Marque Impex,3.9,208,661,15,15,2
1538,Wardwizard Innovations & Mobility ,3.3,208,713,10,3,1
1539,Smart Energy Water,2.9,208,1.6k,24,9,--
1540,Sapphire Software Solutions (India),4.4,208,334,16,39,33
1541,TRIGO Group,2.6,208,658,16,24,--
1542,Parijat Industries (India),4.1,208,764,10,25,5
1543,Comcast India Engineering Center,3.7,208,2.4k,61,18,4
1544,CONTUS TECH,4.1,209,938,57,8,8
1545,Besant Technologies,3.6,208,1.2k,18,8,--
1546,Parker Hannifin,3.6,208,1k,7,14,--
1547,Sagitec Solutions,3.3,208,1.6k,23,14,--
1548,Air India Express,3.2,208,1.1k,17,15,--
1549,ICE Data Services,3.2,208,1.5k,31,12,3
1550,ASP OL Media,4,208,357,71,6,--
1551,BTL EPC LTD,3.6,208,775,19,13,--
1552,OptimHire,3.6,208,814,28,29,--
1553,Masu Brakes,3.4,208,780,15,32,1
1554,MeritNation,3.2,207,585,7,21,1
1555,Radhakrishna Foodland,3.6,207,778,9,14,7
1556,Embio,4,207,903,6,17,--
1557,Skandhanshi Infra Projects,4.3,207,908,15,19,--
1558,Sri Gopikrishna Infrastructure,3.9,207,507,7,29,--
1559,SpeedLabs,3.5,207,445,14,14,--
1560,Geo Chem Laboratories,3.7,207,654,12,11,--
1561,Shirdi Sai Electricals,3.6,207,633,16,20,--
1562,Masu Brakes,3.4,208,780,15,32,1
1563,Skandhanshi Infra Projects,4.3,207,908,15,19,--
1564,Autoline Industries,3.5,207,869,15,13,--
1565,Petronas Lubricants,3.2,208,691,19,22,--
1566,Shriram Fortune Solutions,3.6,207,465,9,21,--
1567,Radhakrishna Foodland,3.6,207,778,9,14,7
1568,Eurofins Scientific,3.2,207,1.6k,14,2,--
1569,Siemens PLM Software,4,207,1.7k,12,32,--
1570,Orthosquare Dental Clinic,4.4,207,88,16,2,1
1571,Embio,4,207,903,6,17,--
1572,Bombay Dyeing,3.8,207,913,9,28,--
1573,Jay Ushin,4,207,877,7,15,1
1574,MAKEEN Energy,3.8,207,507,17,1,1
1575,Izmo,2.9,207,860,17,15,--
1576,Svasti Microfinance,4,207,523,7,5,1
1577,KisanKraft Machine Tools,3.3,207,741,14,12,--
1578,Janatics India,4,207,1.3k,12,18,--
1579,Orthosquare Dental Clinic,4.4,207,88,16,2,1
1580,SpeedLabs,3.5,207,445,14,14,--
1581,ZKTeco Biometrics,3,207,1.3k,26,13,--
1582,Shirdi Sai Electricals,3.6,207,633,16,20,--
1583,KP GROUP,4.2,207,586,21,12,2
1584,dsm-firmenich,4,207,1.2k,14,16,--
1585,Andhra Pradesh State Skill Development Corporation ,3.7,206,560,5,29,--
1586,India Post Payments Bank,4.2,206,652,9,8,--
1587,Enmas O & M Services,4.1,206,656,11,21,1
1588,Lrs Services,3.9,206,805,23,21,5
1589,Vishay Components,4.1,206,797,13,22,--
1590,Philip Morris International,4.2,206,718,14,18,--
1591,Rajapushpa Properties,3.9,206,955,17,12,4
1592,Pie Infocomm,4.4,206,156,44,56,50
1593,Simplify Healthcare,2.5,206,1.8k,40,1,--
1594,AISATS,3.4,206,376,11,25,--
1595,Anglo-Eastern Ship Management,4.1,206,553,17,22,1
1596,Orange Retail Finance,3.9,206,642,6,13,--
1597,ACUTAAS CHEMICALS LIMITED,3.7,206,1.1k,16,14,--
1598,Bharat Broadband Network,3.9,206,811,10,7,1
1599,Techmagnate,4.3,206,789,22,21,--
1600,Bharat Broadband Network,3.9,206,811,10,7,1
1601,AISATS,3.4,206,376,11,25,--
1602,Quest Diagnostics,4.5,206,937,11,26,--
1603,Pie Infocomm,4.4,206,156,44,56,50
1604,Rajapushpa Properties,3.9,206,955,17,12,4
1605,ACUTAAS CHEMICALS LIMITED,3.7,206,1.1k,16,14,--
1606,Orange Retail Finance,3.9,206,642,6,13,--
1607,Valethi Technologies,3,206,1k,12,11,--
1608,Hgs Services,3.8,205,658,55,34,--
1609,IIMT Group of Colleges,4.1,205,576,29,6,--
1610,Tata Asset Management Private Limited,3.8,205,987,12,15,--
1611,Tresor Systems,3.7,205,743,12,16,--
1612,REPUBLIC MEDIA NETWORK,3.4,205,821,22,7,--
1613,Amphenol Fci,3.7,207,946,13,19,2
1614,Ludhiana Beverages,3.9,205,800,11,19,--
1615,Manitou Equipment India,4.1,205,900,20,12,--
1616,Sahajanand Laser Technology,3.2,205,869,19,27,--
1617,One Point Solutions,3.3,205,1.1k,9,5,--
1618,UTI Asset Management Company,3.8,205,846,13,9,--
1619,Nisum ,2.7,205,1.8k,33,16,5
1620,Sakura Autoparts,3.7,205,841,11,12,2
1621,Rajapushpa Properties,3.9,206,955,17,12,4
1622,UTI Asset Management Company,3.8,205,847,13,9,--
1623,Amphenol Fci,3.8,205,936,13,19,2
1624,Primary Health Centre,4.2,205,751,8,10,2
1625,REPUBLIC MEDIA NETWORK,3.4,205,821,22,7,--
1626,Sigma Freudenberg NOK,4.1,205,943,10,21,--
1627,Ludhiana Beverages,3.9,205,800,11,19,--
1628,Wings Biotech,3,205,503,11,30,--
1629,SMC Power Generation,3.6,205,798,14,9,1
1630,One Point Solutions,3.3,205,1.1k,9,5,--
1631,Marengo Asia Hospitals,4,205,428,8,3,--
1632,Sendan International Co,2.2,204,513,15,11,2
1633,UFO Moviez,3,204,912,9,19,--
1634,TechStar Group,4.1,204,1k,20,14,--
1635,Skypro Technologies,3.3,204,716,14,14,1
1636,PP Rolling Mills,3.7,204,861,24,6,--
1637,Mantra Softech,3.7,204,1.2k,15,11,--
1638,Ashv Finance,4,205,753,10,9,--
1639,Solugenix India Private Limited,3.1,204,1.8k,33,12,--
1640,TechStar Group,4.1,204,1k,20,14,--
1641,JSW Severfield Structures,3.7,204,832,13,18,--
1642,Sendan International Co,2.2,204,513,15,11,2
1643,Ashv Finance,4,205,753,10,9,--
1644,Logicon Facility Management ,3.2,204,749,15,12,8
1645,Kirloskar Technologies,4,204,531,18,17,--
1646,Infojini,2.8,204,730,19,28,26
1647,Mashreq Bank,3.1,204,1.2k,9,18,--
1648,Skypro Technologies,3.3,204,716,14,14,1
1649,Rama University,3.4,204,520,15,27,--
1650,DTC Projects,3.8,204,626,23,33,44
1651,Mantra Softech,3.7,204,1.2k,15,11,--
1652,Mazars,3,204,1.4k,21,8,--
1653,IDBI Capital,3.7,204,882,13,14,--
1654, KayBee Bio Organics,3.7,204,373,31,7,2
1655,S.S. Kothari Mehta & Co,3.5,204,814,13,11,--
1656,Beckman Coulter,3.3,204,1.3k,13,18,6
1657,UFO Moviez,3,204,913,9,19,--
1658,HIVELOOP LOGISTICS,4.2,203,412,5,1,--
1659,Aress Software and Education Technologies,2.5,204,1.1k,16,11,1
1660,Shopclues,3.3,203,1.1k,9,24,--
1661,Ganesh Grains,3.1,203,611,19,14,--
1662, KayBee Bio Organics,3.7,204,373,31,7,2
1663,BPO+,4.4,203,1.8k,47,21,--
1664,Tech Mahindra Foundation,4,203,590,32,33,--
1665,WinWire,3.3,203,1.7k,30,15,--
1666,Dhampur Sugar Mills,3.9,203,731,16,21,--
1667,Ramoji Film City,4.2,203,634,10,25,1
1668,Prasol Chemicals,3.5,203,1.2k,26,14,--
1669,Gates,3.4,203,962,14,21,--
1670,JSW Severfield Structures,3.7,204,832,13,18,--
1671,Taikisha Engineering India,3.9,203,1.1k,17,18,--
1672,MKU,3.2,203,745,10,18,2
1673,Sula Vineyards,4,203,811,11,18,--
1674,Ksolves India Limited,2.9,203,1.2k,59,4,29
1675,TNT Express,4,202,399,6,37,--
1676,CRB Tech Solution,3.7,202,418,12,12,--
1677,S.c Johnson Products,4,203,560,2,30,6
1678,Hyundai Engineering,3.9,203,777,15,21,--
1679,Hyundai Engineering,3.9,204,777,15,21,--
1680,TNT Express,4,202,399,6,37,--
1681,CRB Tech Solution,3.7,202,418,12,12,--
1682,SSEM,3.3,202,359,10,31,--
1683,Flender,3.7,202,1.2k,17,12,--
1684,Getix Health,3.8,202,999,15,17,--
1685,India Pesticides,4,202,820,17,8,--
1686,alliantgroup,2.2,202,1.1k,24,9,--
1687,Nippon Data Systems,3.4,202,1.1k,28,7,--
1688,S.c Johnson Products,4,203,560,2,30,6
1689,TomTom,3.7,202,966,14,26,--
1690,Fisdom,3.2,202,801,16,8,3
1691,NullClass,3.4,202,170,16,1,--
1692,Integrated Resources,3.9,202,710,37,15,--
1693,Brainware University,2.8,202,588,25,4,19
1694,HOLITECH INDIA,4.1,202,717,27,41,2
1695,Samkwang India Electronic,3.3,202,829,17,11,1
1696,Hospet Steels,3.7,202,826,18,20,1
1697,Mukand Sumi Special Steel ,3.8,202,713,15,10,--
1698,Getix Health,3.8,202,999,15,17,--
1699,India Pesticides,4,202,820,17,8,--
1700,Flender,3.7,202,1.2k,17,12,--
1701,alliantgroup,2.2,202,1.1k,24,9,--
1702,Manika Plastech Private Limited,3.9,202,575,14,1,1
1703,B2x Service Solutions,3.9,201,477,4,19,--
1704,Prem Henna,3.3,201,543,4,30,--
1705,UST BlueConch Technologies,3.6,201,1.2k,20,1,--
1706,Symphoni HR,4,201,352,25,2,1
1707,DGS Technical Services,3.2,201,889,4,12,--
1708,AccSource KPO,3,201,881,27,39,6
1709,Dollar Industries,3.6,201,817,12,13,--
1710,Jubilant Motorworks,4,201,660,12,16,10
1711,IILM,4,201,466,11,6,2
1712,Jasmin Infotech,4,201,1.5k,15,16,--
1713,Samsung Semiconductor,3.2,201,1.6k,22,9,--
1714,Peps Industries,4.1,201,712,13,13,--
1715,Mfine,3.5,201,1.3k,25,31,3
1716,Luthra Group Company,4.1,201,885,22,17,3
1717,World Health Organization,4.1,202,396,17,15,--
1718,In2IT Technologies,3.1,201,1.1k,17,15,--
1719,Puthur Infotech,3.6,201,751,8,4,--
1720,House Of Diagnostics,4.1,201,769,14,27,20
1721, Tripjack,3.9,201,693,42,3,22
1722,Gulf Asia Contracting,3.3,201,679,11,8,--
1723,Exel Rubber,4,201,817,18,13,--
1724,Thejo Engineering,4,201,942,23,17,--
1725,HomeBazaar.com,3.6,201,689,21,13,22
1726,SACHA Engineering,3.4,201,1.4k,14,14,--
1727,ePack Durables Solutions,3.5,202,1k,15,6,--
1728,Exeltis,4,201,520,14,25,6
1729,ReGen Powertech,3.7,200,431,10,23,1
1730,DigiCall Teleservices,4,200,326,2,26,--
1731,Avaali Solutions,4.4,200,433,46,1,--
1732,Biorad Medisys,3.7,200,966,23,12,--
1733,Adhaan Solutions,3.8,200,636,12,8,--
1734,Black & Veatch,4.2,200,986,16,24,--
1735,Nutanix,3.4,200,2.4k,90,11,9
1736,Wingreens Farms,4,200,825,10,18,--
1737,Daffodil Software,3.2,200,1.5k,30,26,--
1738,Vensure Employer Services,3.7,200,278,46,3,39
1739,Ascendum KPS,3.6,200,826,26,15,17
1740,Biophore India Pharmaceuticals,3.4,200,900,14,15,6
1741,Exeltis,4,201,520,14,25,6
1742,Avaali Solutions,4.4,200,433,46,1,--
1743,ReGen Powertech,3.7,200,431,10,23,1
1744,DigiCall Teleservices,4,200,326,2,26,--
1745,Biorad Medisys,3.7,200,966,23,12,--
1746,Nutanix,3.4,200,2.4k,90,11,9
1747,Black & Veatch,4.2,200,986,16,24,--
1748,Three D Integrated Solutions Ltd ,3.1,200,651,17,16,1
1749,Dalmia-OCL,3.9,200,580,8,15,--
1750,Daffodil Software,3.2,200,1.5k,30,26,--
1751,Expeditors International,3.7,200,1.3k,15,11,--
1752,KDK Software,2.8,200,430,22,23,2
1753,Paytm Money,3,200,1.3k,29,13,3
1754,Springbord Systems,4.1,200,628,26,10,2
1755,Roots Multiclean,3.8,200,1.1k,19,18,--
1756,Wingreens Farms,4,200,825,10,18,--
1757,Adhaan Solutions,3.8,200,636,12,8,--
1758,Vensure Employer Services,3.7,200,278,46,3,39
1759,Vikas Money,4.7,203,56,15,1,--
1760,DNEG CREATIVE SERVICES,2.9,200,936,10,11,--
1761,Target Publications,4,199,325,17,6,3
1762,Canvera,3.7,199,611,5,17,--
1763,Praxair,4.1,199,656,7,25,--
1764,GEETANJALI HOMESTATE ,3.7,199,274,16,40,--
1765,Godrej Appliances,3.8,199,666,8,24,1
1766,Alp Nishikawa,3.9,199,808,8,18,3
1767,Medecins Sans Frontieres,4.3,199,410,14,5,--
1768,RJ Corp,4.2,199,597,9,14,1
1769,Ruby General Hospital,3.3,199,736,9,7,2
1770,Extentia Information Technology,3.4,199,1.4k,17,12,--
1771,Ester Industries,3.9,199,803,10,20,--
1772,Rexel,3.4,199,959,13,17,--
1773,AB Mauri India,3.8,199,802,13,12,1
1774,JNET Technologies,3.6,199,679,14,17,1
1775,Clarion Technologies,3.9,199,1.5k,24,15,--
1776,Kalyan Toll Infrastructure,4.2,199,662,8,21,--
1777,Indobevs,3.9,200,846,13,12,--
1778,Gokul Agro Resources,3.8,199,918,17,7,--
1779,Jagran New Media,3.2,199,659,7,11,59
1780,Eshopbox Ecommerce,2.8,199,643,45,5,6
1781,CIMS Hospital,4.2,199,619,6,15,--
1782,IRIS KPO Resourcing,3.9,199,969,17,7,30
1783,Sahyadri Industries,3.5,199,828,14,10,1
1784,MBL Infrastructure Limited,3.9,199,507,12,40,1
1785,Windsor Machines,4,199,826,10,17,--
1786,The Cosmos Co-operative Bank,3.5,199,977,10,16,1
1787,Arvind Techno Engineers,3.9,199,800,8,7,--
1788,Gennova Biopharmaceuticals,4.2,199,866,12,13,--
1789,Ushodaya Enterprises,4,199,761,6,20,--
1790,Ohmium,3.2,199,746,15,2,--
1791,Gulf Spic General Trading & Contracting Company,3.6,199,774,11,26,--
1792,Edunet Foundation,4.1,200,357,18,3,--
1793,Raksha TPA,4.1,198,752,6,12,--
1794,Lakshmi Life Sciences,3.9,198,1k,11,7,--
1795,Krishi Rasayan Exports,3.8,198,676,11,8,--
1796,Innovel Energy Services,3.7,198,409,22,24,8
1797,GKC Projects,4.5,198,436,--,33,--
1798,Caretel Infotech,3.5,198,431,10,17,--
1799,Saudi Electricity Company,4.1,198,377,10,27,5
1800,Apache Footwear,3.5,198,680,18,19,2
1801,LoansJagat.com,3.9,203,55,6,3,5
1802,Axalta Coating Systems,4.1,198,837,12,30,--
1803,Rudrabhishek Enterprises,3.2,198,786,11,17,--
1804,Marathon Electric India,3.5,198,860,12,19,--
1805,S.R.Batliboi & Co.,3.1,199,1k,14,11,--
1806,Volksoft Technologies,4.2,198,171,4,6,--
1807,OEN India,4.2,198,900,16,12,--
1808,Loconav,3.1,198,1.2k,14,11,--
1809,Roha Housing Finance,3.5,198,605,8,5,--
1810,Astec LifeSciences,3.8,198,768,18,13,--
1811,Sanmar Group,3.6,198,875,23,12,--
1812,Stats Perform,3.3,198,1k,21,2,--
1813,Bygging India,3.9,198,663,17,17,5
1814,A3logics,3.4,198,792,32,9,2
1815,Apps Associates,3.7,198,1.4k,12,18,--
1816,OnMobile Global,3.6,198,1.4k,16,25,3
1817,Competition Team Technology,3.6,199,1.1k,11,8,--
1818,Oswal Castings,3.8,198,691,14,12,--
1819,Margadarsi Chit Fund,3.7,199,675,11,15,--
1820,Timex Group India,3.9,198,861,5,25,--
1821,Energy Efficiency Services,3.7,198,788,13,21,--
1822,MasterSoft ERP Solutions,3.3,198,985,19,12,10
1823,Pin Click,2.7,198,478,14,19,--
1824,Cholayil Private Limited,4.1,198,663,7,20,--
1825,Fare Labs,2.5,198,738,12,7,--
1826,Bhansali Engineering Polymers ,3.3,198,754,19,11,7
1827,The Souled Store,3.2,198,702,15,7,--
1828,Maharaja Agrasen Hospital,3.8,198,744,9,12,--
1829,Sleepwell,4.1,198,632,18,12,--
1830,Kifs Housing Finance,3.7,197,582,9,7,--
1831,AXIS Solutions,3.4,197,760,14,7,--
1832,Dayal Fertilizers,3.7,197,418,13,21,--
1833,Blowhorn,3.2,197,563,7,19,35
1834,Mangalam Landmarks,4.8,197,143,92,1,--
1835,DAIMLER TRUCKS ASIA,3.8,197,1.2k,5,6,1
1836,Kent,3.4,197,801,8,9,2
1837,Maahi Milk Producer Company,4.2,197,516,15,23,1
1838,AXIS Solutions,3.4,197,760,14,7,--
1839,Blowhorn,3.2,197,563,7,19,35
1840,Kent,3.4,197,801,8,9,2
1841,Maahi Milk Producer Company,4.2,197,516,15,23,1
1842,SCIO Management Solutions,4.4,197,666,18,14,1
1843,NSL Textiles,3.9,197,654,11,19,2
1844,TechMojo Solutions,4.1,197,1.4k,37,13,5
1845,Hy Gro Chemicals Pharmtek,3.8,197,669,12,21,--
1846,Repro India,3.3,197,875,16,13,--
1847,EDR Continuous Information,2.9,197,833,11,12,--
1848,CoLive ,3.8,197,676,47,3,12
1849,Green Gene Enviro Protection And Infrastructure ,3.6,197,569,12,1,2
1850,IIHT,3.6,196,860,3,31,--
1851,Hero Future Energies,4.2,197,992,9,22,--
1852,Moneyboxx Finance,3.6,196,578,11,5,7
1853,TekisHub Consulting Services,3.8,196,1k,23,6,--
1854,Hoonartek,3.5,196,1.5k,17,14,--
