,CompanyName,Rating,TotalReviews,SalaryOffereByComapany,TotalInterviews,Benefits,PhotosOnSite
450,Jio Platforms,3.3,2.2k,15.2k,273,67,--
451,Saint-Gobain,3.8,2.2k,12.2k,218,257,9
452,Cargill,3.9,2.2k,8.8k,114,157,7
453,NTT DATA Business Solutions,4.1,2.2k,13.4k,287,36,59
454,Life Insurance Corporation of India,4.4,2.2k,4.7k,107,248,25
455,Nokia Networks,4.1,2.2k,10.3k,130,14,--
456,Nuvoco Vistas,4.1,2.2k,7.3k,137,148,5
457,Infinite Computer Solutions,3.2,2.2k,16k,182,116,19
458,Brakes India,3.9,2.2k,7.3k,110,219,2
459,CAMS,3.6,2.2k,9.1k,153,56,6
460,upGrad,3.3,2.2k,9.6k,220,134,18
461,BHEL,4.2,2.2k,5.3k,141,234,11
462,Microsoft Corporation,3.8,2.2k,32.2k,633,203,7
463,Power Mech Projects,3.8,2.2k,6.9k,127,170,5
464,Kotak Securities,3.4,2.2k,9.6k,150,159,3
465,Force Motors,3.7,2.1k,8.3k,148,158,5
466,CitiusTech,3.1,2.1k,14.8k,325,176,15
467,Pfizer,3.9,2.1k,6k,91,280,6
468,"Maruti Suzuki India Limited, Hansalpur",4.2,2.1k,6.9k,240,179,3
469,Provana,4.1,2.1k,4.6k,279,331,4
470,EPAM Systems,3.7,2.1k,25k,666,141,7
471,IndusInd General Insurance,3.6,2.1k,7.2k,104,138,2
472,Huawei Technologies,4.1,2.1k,7.7k,121,293,1
473,Biological E,4.2,2.1k,7.2k,149,235,--
474,SGS,3.7,2.1k,6.7k,134,190,2
475,ITC Hotels,4.1,2.1k,5.4k,108,201,15
476,Simplex Infrastructures,3.4,2.1k,4.2k,85,287,--
477,Reliance Trends,4.1,2.1k,4.1k,126,220,31
478,K12 Techno Services,3.7,2.1k,5.4k,446,76,1
479,Morgan Stanley,3.6,2.1k,28.1k,344,160,8
480,Raymond Lifestyle Limited,4.2,2.1k,6.3k,124,240,9
481,Delphi TVS,3.8,2.1k,5.6k,102,201,--
482,Aditya Birla Health Insurance Co,3.7,2.1k,7.3k,134,102,1
483,Ola Cabs,3.2,2.1k,8.9k,156,230,10
484,Renault-Nissan,4.1,2.1k,7.4k,130,270,9
485,YASH Technologies,3.6,2.1k,16.4k,179,183,35
486,Extramarks Education,3.2,2.1k,7.2k,177,147,2
487,Narayana Health,4.0,2.1k,6.3k,98,153,--
488,Shadowfax Technologies,3.5,2k,7.9k,172,88,18
489,Trent,3.8,2k,5.4k,112,144,8
490,IDBI Bank,3.3,2k,6.2k,88,141,7
491,Haier Appliances India ,3.9,2k,7.3k,169,177,6
492,Novartis,4.2,2k,10.5k,171,232,16
493,Senco Gold,4.4,2k,1.6k,634,36,9
494,AECOM,4.2,2k,7.3k,155,250,14
495,Honeywell Automation,3.8,2k,12.6k,140,165,--
496,HSBC Electronic Data Processing,4.0,2k,8.4k,92,3,1
497,R.R. Donnelley,3.6,2k,10.3k,130,212,1
498,SAP,4.1,2k,18.5k,323,286,22
499,Schindler,3.9,2k,6.3k,126,199,3
500,Motherson Automotive Technologies and Engineering,3.7,2k,7.8k,164,159,1
501,L&T Energy Hydrocarbon,3.8,2k,8.5k,120,208,9
502,Paisabazaar.com,3.4,2k,7.1k,176,106,25
503,Ninjacart,3.7,2k,4.9k,105,140,23
504,Globiva,3.0,2k,5.4k,140,90,11
505,V-Guard,4.3,2k,4.7k,123,283,19
506,CMS Infosystems,3.5,2k,4.9k,83,109,6
507,Aye Finance,4.1,2k,3.6k,103,126,16
508,TELUS Digital,3.5,2k,10.7k,147,53,--
509,Crisil,3.5,2k,13.8k,216,225,--
510,Uflex,3.8,2k,6.9k,133,130,9
511,NCR Voyix,3.4,2k,9.5k,145,178,--
512,Spinny,3.6,2k,7.9k,217,110,--
513,Dr Lal PathLabs,4.2,2k,4.5k,194,199,3
514,State Street Syntel,3.7,2k,6.3k,80,282,--
515,CNH (Case New Holland),3.7,2k,6.2k,143,169,32
516,Microland,3.5,2k,10.8k,149,165,5
517,Adecco Group,3.8,2k,7.5k,123,148,1
518,Aadhar Housing Finance,4.0,2k,4.7k,123,109,12
519,Godrej Properties,3.6,2k,9.4k,136,123,10
520,Philips,3.8,2k,11.3k,183,183,10
521,Gabriel India Limited,4.0,2k,5.8k,134,256,3
522,Parle Products,3.9,2k,3.6k,128,212,3
523,Tata Power,3.9,2k,7.5k,222,141,11
524,G R Infraprojects,4.1,2k,5.3k,167,165,4
525,HTC Global Services,3.3,2k,13.5k,170,112,--
526,Angel One,3.5,1.9k,7.9k,172,159,4
527,Trident Group,3.3,1.9k,5.6k,143,137,20
528,DHL Supply Chain,4.2,1.9k,6.3k,130,142,25
529,CSB Bank,3.2,1.9k,7.4k,110,53,5
530,ICICI Home Finance,3.7,1.9k,5.6k,104,99,4
531,Verizon,3.5,1.9k,12.2k,136,206,5
532,NTPC,4.2,1.9k,4.4k,192,189,16
533,Iris Software,3.7,1.9k,8.1k,210,254,10
534,Lucas-TVS,3.9,1.9k,6.2k,98,214,5
535,Google,4.4,1.9k,36.4k,1.1k,143,19
536,Thomson Reuters,3.7,1.9k,10.9k,142,230,--
537,NeoSOFT,3.3,1.9k,11k,305,106,39
538,Infinx,3.7,1.9k,5.4k,211,75,--
539,PI Industries,3.8,1.9k,7k,141,173,9
540,Safexpress,3.9,1.9k,5.6k,130,160,32
541,Rungta Mines,4.0,1.9k,6.1k,211,73,9
542,Torrent Power,3.7,1.9k,7.9k,169,158,5
543,Polycab Wires,4.0,1.9k,7.4k,136,98,7
544,Jindal Saw,4.0,1.9k,6.9k,150,188,3
545,Medi Assist India,3.4,1.9k,7.5k,142,147,1
546,Hindustan Aeronautics,4.3,1.9k,4.5k,92,183,2
547,Orchids International School,3.9,1.9k,3.9k,428,115,--
548,Tekwissen,4.9,1.9k,628,341,3,12
549,Capri Global Capital,3.6,1.9k,4.3k,76,48,20
550,Tata Tele Business Services,3.5,1.9k,4.5k,58,281,16
551,TVS Sundram Fasteners,3.6,1.9k,6.7k,95,212,4
552,Fusion CX,3.2,1.9k,4.6k,148,99,14
553,Infra.Market,3.9,1.9k,3.9k,283,23,14
554,Aragen Life Sciences,3.9,1.9k,6.6k,129,304,18
555,AXA Global Business Services,3.7,1.9k,7.2k,108,178,5
556,KENT RO Systems,3.7,1.9k,4.2k,107,111,19
557,First American (India),3.6,1.9k,9.5k,101,177,7
558,Digit Insurance,3.6,1.9k,6.3k,241,116,29
559,Haldiram Foods International Limited,3.8,1.8k,6.1k,165,109,1
560,AkzoNobel,4.1,1.8k,4.6k,145,137,48
561,Honda Cars,4.3,1.8k,6.2k,115,186,2
562,Hindustan Petroleum,4.2,1.8k,6.1k,119,141,6
563,Adani Green Energy,3.9,1.8k,6.3k,168,91,31
564,DIVI'S Laboratories,3.6,1.8k,6.8k,106,182,--
565,Innovsource Services,3.9,1.8k,4.7k,79,126,5
566,Sterling & Wilson,4.1,1.8k,6.7k,87,202,6
567,MetLife,4.0,1.8k,9.6k,103,242,--
568,Cafe Coffee Day,3.7,1.8k,3.7k,86,183,9
569,Air India,3.4,1.8k,8.2k,227,172,6
570,Pine Labs,3.2,1.8k,7.8k,142,123,2
571,Reckitt Benckiser,3.9,1.8k,6.4k,107,179,3
572,SS&C TECHNOLOGIES,3.2,1.8k,13.6k,202,198,12
573,USV,4.0,1.8k,5.8k,89,177,--
574,USHA International,4.0,1.8k,4.9k,120,174,13
575,LivSpace,3.3,1.8k,8.3k,171,96,3
576,Annapurna Finance,3.8,1.8k,3.8k,88,133,9
577,HDFC Securities,3.4,1.8k,6.1k,129,149,5
578,XBP Global,3.2,1.8k,7.6k,104,81,--
579,Stellar Migration,1.3,1.8k,2,2,8,1
580,Kalyan Jewellers,4.4,1.8k,1.6k,84,62,3
581,Tata Communications Transformation Services,3.8,1.8k,8.4k,101,171,1
582,Security and Intelligence Services (India),4.1,1.8k,4.6k,85,136,8
583,BT Business,3.9,1.8k,9.3k,90,269,--
584,Granules India Limited,3.8,1.8k,6.5k,87,171,1
585,Hitachi Astemo,4.1,1.8k,6.6k,143,124,7
586,Bata,3.5,1.8k,4.2k,89,126,16
587,BVG India,4.2,1.7k,4.1k,176,107,8
588,Cushman & Wakefield,4.1,1.7k,6.8k,128,142,2
589,Vedantu,3.2,1.7k,7.9k,201,161,7
590,NielsenIQ,3.4,1.7k,11.3k,240,64,6
591,Orange Business,4.0,1.7k,9.2k,120,245,1
592,TTEC India,3.7,1.7k,5.6k,196,157,28
593,IIFL SAMASTA,3.7,1.7k,3.2k,88,25,11
594,Mother Dairy Fruit & Vegetable,4.0,1.7k,5k,105,157,3
595,Dhani Loans and Services,3.9,1.7k,4.1k,71,42,1
596,HighRadius,2.4,1.7k,9.4k,217,90,24
597,Future Retail,4.4,1.7k,3.6k,61,249,--
598,Medanta the Medicity,4.0,1.7k,5.2k,138,155,4
599,FactSet,3.7,1.7k,10.9k,237,190,26
600,Metro Cash & Carry,4.0,1.7k,4.9k,77,170,8
601,Caterpillar Inc,4.1,1.7k,11.6k,211,145,7
602,Cavinkare,3.9,1.7k,4.9k,72,150,--
603,Sysnet Global Technologies,3.6,1.7k,4.3k,143,87,--
604,Indian Navy,4.6,1.7k,3.4k,40,248,2
605,Tata 1mg,3.6,1.7k,7.3k,230,110,24
606,Frankfinn Institute of Air Hostess Training,3.9,1.7k,3.1k,129,175,289
607,Patanjali Foods,3.7,1.7k,4.7k,113,126,--
608,Clover Infotech,3.3,1.7k,12.1k,145,104,32
609,Health Care Global Enterprises,4.4,1.7k,2.9k,176,31,14
610,Compass Group Support Services,4.0,1.7k,5.7k,92,147,22
611,NEC,4.0,1.7k,5.5k,81,82,22
612,L.G.Balakrishnan & Bros,3.5,1.7k,5.9k,85,126,--
613,KONE,4.1,1.7k,5.8k,146,197,36
614,Shriram Life Insurance,3.5,1.7k,5k,118,97,5
615,Rane (Madras) ,3.8,1.7k,4.8k,99,166,--
616,ReNew,4.2,1.7k,6.7k,146,104,4
617,Yamaha Motor,4.1,1.7k,5.4k,97,178,4
618,MagicBricks,3.9,1.7k,4.7k,350,74,8
619,DHL Express,4.1,1.7k,6.2k,80,175,9
620,CG Power and Industrial Solutions,3.8,1.7k,6.9k,109,220,5
621,Vardhman Fabrics,4.0,1.7k,5.3k,87,148,2
622,BA Continuum,3.9,1.7k,10.1k,113,291,--
623,Suryoday Small Finance Bank,3.9,1.7k,4.5k,101,94,13
624,JSW Bhushan Power & Steel,4.0,1.7k,4.8k,85,184,2
625,Matrimony.com,3.9,1.7k,4.4k,113,81,--
626,Toyota Kirloskar Motor,4.3,1.7k,4.8k,87,170,5
627,Labmentix,4.5,1.6k,40,568,29,--
628,Coronis Ajuba Solutions,3.9,1.6k,5.8k,94,145,1
629,Procter & Gamble,4.0,1.6k,5.8k,137,167,5
630,Belrise Industries,3.7,1.6k,6.2k,108,105,2
631,Goldman Sachs,3.3,1.6k,21.5k,420,106,1
632,Johnson & Johnson,3.9,1.6k,5.9k,117,190,9
633,CMA CGM,4.0,1.6k,8k,105,215,9
634,Arvind Group,4.0,1.6k,5.4k,88,303,6
635,Krishna Maruti,3.8,1.6k,5.2k,139,129,18
636,Veritas Finance,4.2,1.6k,2.3k,92,43,33
637,Wipro Enterprises Ltd,3.8,1.6k,8.4k,214,450,--
638,Dixon Technologies,3.9,1.6k,5.8k,157,123,10
639,Chegg,4.1,1.6k,4.1k,167,90,--
640,Urban Company,3.3,1.6k,7.3k,179,106,14
641,Godrej Industries Group,3.9,1.6k,3.1k,156,166,3
642,Teva Pharmaceuticals,3.9,1.6k,5.8k,122,187,3
643,Marico,3.8,1.6k,5.8k,108,168,6
644,Sanofi,4.0,1.6k,6.2k,107,174,9
645,Satin Creditcare Network,3.9,1.6k,3.1k,69,137,3
646,Welspun Living Limited,3.9,1.6k,5.2k,92,154,8
647,mPokket,4.5,1.6k,1.7k,418,42,31
648,Tata Play,4.0,1.6k,4.6k,90,186,10
649,HERE Technologies,3.8,1.6k,7.6k,113,284,--
650,Hero Motors Company,3.9,1.6k,6.4k,101,126,4
651,Supreme Industries,4.0,1.6k,5.8k,102,118,3
652,iOPEX Technologies,3.1,1.6k,6.2k,94,538,46
653,IndiaFirst Life Insurance,3.8,1.6k,4k,87,110,--
654,Asahi India Glass ,3.8,1.6k,5.5k,118,136,2
655,Broadridge Financial Solutions,3.8,1.6k,11.1k,165,143,8
656,Emami,3.8,1.6k,5.2k,109,140,9
657,ZF Commercial Vehicle Control Systems,3.8,1.6k,3.8k,85,8,5
658,Relaxo Footwear,4.0,1.6k,4.6k,117,154,5
659,Kotak Mahindra Prime,3.9,1.6k,5.2k,73,69,1
660,Cemindia Projects,4.2,1.6k,3.4k,98,143,4
661,KFC,4.0,1.6k,3k,88,161,4
662,Wockhardt,3.8,1.6k,4.1k,66,182,--
663,Mercer,3.6,1.6k,10.1k,98,207,--
664,PharmEasy,3.7,1.6k,6.5k,122,154,15
665,Hinduja Leyland Finance,3.9,1.6k,3.1k,67,87,--
666,IFB,3.5,1.6k,5.4k,126,61,1
667,SHYAM METALICS AND ENERGY,3.4,1.6k,5k,157,53,16
668,Marriott International,4.1,1.6k,4.7k,107,186,9
669,Lumax Industries,3.9,1.6k,5.9k,107,132,2
670,Amul India,4.0,1.6k,4.3k,163,11,6
671,Gujarat Fluorochemicals,3.9,1.6k,6.8k,110,131,3
672,Tata Consumer Products,3.5,1.6k,6k,103,87,6
673,Bisleri,4.2,1.6k,4.5k,127,150,6
674,Muthoot Microfin,4.2,1.6k,2.6k,86,70,19
675,Patra India,3.5,1.6k,6.4k,120,90,2
676,Bajaj Capital,3.5,1.6k,3.9k,170,103,7
677,Honda,4.0,1.6k,3.8k,114,207,8
678,Karur Vysya Bank,3.5,1.6k,4.9k,112,64,--
679,Suguna Foods,3.9,1.5k,4.1k,97,137,10
680,Steel Strips Wheels,3.7,1.5k,5.6k,89,122,8
681,Dainik Bhaskar Group,4.1,1.5k,4.3k,85,148,6
682,Evalueserve,3.0,1.5k,10.6k,142,139,2
683,GE VERNOVA,4.1,1.5k,5.7k,114,10,4
684,Tesco,3.6,1.5k,9.4k,151,194,22
685,American Broadcasting Company,4.0,1.5k,37.1k,603,9,--
686,Piramal Pharma,3.9,1.5k,6.8k,134,110,18
687,XL Dynamics,3.6,1.5k,3.5k,97,199,1
688,SAI Life Sciences,3.9,1.5k,6.2k,110,135,10
689,Nayara Energy,4.2,1.5k,6k,97,169,7
690,Sonata Software,3.4,1.5k,12k,145,89,--
691,Canara Bank,3.6,1.5k,4.1k,53,102,6
692,Oracle Cerner,3.3,1.5k,9.8k,172,256,1
693,GMR Group,3.9,1.5k,4.7k,108,196,2
694,Page Industries,4.1,1.5k,5.1k,77,107,11
695,Tanishq,4.2,1.5k,3.1k,118,75,15
696,Wheelseye Technology,3.4,1.5k,4k,122,106,6
697,QualityKiosk Technologies,3.2,1.5k,11.5k,166,101,--
698,PNB Housing Finance,3.7,1.5k,4.8k,57,96,--
699,Ashoka Buildcon,4.1,1.5k,4.2k,82,129,7
700,V5 Global Services,3.9,1.5k,3.8k,96,72,2
701,Acuity Analytics,3.1,1.5k,13.2k,183,83,12
702,Devyani International,3.8,1.5k,3.5k,72,116,10
703,Airtel Payments Bank,3.8,1.5k,5.3k,119,111,4
704,Gland Pharma,4.0,1.5k,5.9k,93,128,--
705,Chetu,3.7,1.5k,7.3k,235,150,23
706,HCL Infosystems,4.0,1.5k,6.5k,144,230,--
707,Heritage Foods,4.1,1.5k,3.8k,106,152,2
708,Amneal Pharmaceuticals,4.2,1.5k,6.4k,87,146,2
709,Valeo,3.9,1.5k,8.2k,109,135,3
710,Max Fashion,4.0,1.5k,3.5k,78,177,15
711,SBFC Finance,3.8,1.5k,2.9k,103,56,6
712,Daimler India Commercial Vehicles,3.9,1.5k,6.8k,79,181,--
713,ALTEN,3.5,1.5k,8.7k,168,74,7
714,Happiest Minds Technologies,3.4,1.5k,12.9k,154,98,20
715,Indoco Remedies,3.5,1.5k,5.7k,90,112,4
716,Apco Infratech,3.8,1.5k,4.4k,143,113,13
717,ISS Facility Services,4.0,1.5k,4.2k,69,137,--
718,Honeywell Technology Solutions,3.6,1.5k,11.4k,165,207,--
719,Apexon,3.3,1.5k,9.7k,177,44,1
720,Aon,3.8,1.5k,6.6k,93,213,--
721,Chandigarh University,4.2,1.5k,2.9k,110,51,6
722,Altimetrik,3.5,1.5k,12.8k,272,114,10
723,Bharat Forge,3.7,1.5k,6.5k,80,126,5
724,Oberoi Group of Hotels,4.0,1.5k,3.8k,96,235,1
725,Aumovio,3.7,1.5k,9.5k,83,135,5
726, Taurus BPO Services ,4.0,1.5k,993,35,516,6
727,Narayana Educational Society,3.6,1.5k,4.1k,70,124,--
728,Jaquar,4.1,1.5k,5.1k,90,125,--
729,NIIT,3.5,1.5k,6.1k,108,163,3
730,Hyatt Regency,4.1,1.5k,3k,63,199,1
731,AB InBev India,3.3,1.5k,8.1k,119,149,2
732,Morningstar,3.7,1.4k,10.5k,267,128,12
733,CIE Automotive India Limited (Formerly known as Mahindra CIE Automotive Limited),3.6,1.4k,5k,91,5,98
734,Indegene,3.3,1.4k,10k,177,134,--
735,Sony,4.2,1.4k,4.6k,92,195,1
736,Fusion Finance,3.9,1.4k,3.2k,62,83,3
737,VOIS,3.7,1.4k,9k,183,18,--
738,City Union Bank,2.9,1.4k,6k,130,71,6
739,Amara Raja Energy & Mobility,4.0,1.4k,4.3k,117,115,7
740,Agilus Diagnostics,4.1,1.4k,3.3k,86,133,--
741,Tieto,4.1,1.4k,9.4k,108,118,26
742,Nykaa,3.4,1.4k,7.1k,156,62,5
743,Acmegrade,3.9,1.4k,289,69,1,1
744,MedPlus,3.5,1.4k,4.4k,111,66,1
745,Slk Software Services,3.2,1.4k,9.3k,115,91,--
746,Vfs Global Services,3.4,1.4k,4.4k,73,121,--
747,Aerial Telecom Solutions,4.2,1.4k,2.4k,127,69,3
748,DCM Shriram,4.1,1.4k,5k,113,123,1
749,Adobe,3.7,1.4k,13.5k,275,156,3
750,Eaton,3.9,1.4k,8.3k,154,130,10
751,Hire In Global,4.9,1.4k,8,303,35,--
752,AtkinsRealis,3.7,1.4k,6.2k,110,97,11
753,TEKsystems,3.1,1.4k,11.4k,139,83,2
754,Xiaomi,3.7,1.4k,5.7k,113,134,16
755,TÜV SÜD,4.0,1.4k,4k,108,112,--
756,Sansera Engineering,4.0,1.4k,5.7k,98,115,2
757,VLCC,3.2,1.4k,3.3k,55,99,--
758,EOSGlobe,3.0,1.4k,4k,91,88,3
759,J. Kumar Infraprojects,4.1,1.4k,4.4k,94,118,4
760,Tenarai,3.5,1.4k,11.2k,138,124,177
761,Oracle Financial Services Software,3.2,1.4k,10.6k,200,187,7
762,Kantar,3.5,1.4k,6.9k,119,82,1
763,Unisys,3.4,1.4k,10.2k,81,151,--
764,Tata Group,4.2,1.4k,5.7k,386,148,2
765,Citco,3.1,1.4k,10.1k,172,56,--
766,Rashmi Metaliks,3.1,1.4k,4.9k,118,67,5
767,FedEx Express,4.0,1.4k,5.4k,117,195,2
768,The Muthoot Group,3.6,1.4k,3.6k,84,233,10
769,IDC Technologies,3.1,1.4k,6.8k,76,48,13
770,Worley,4.1,1.4k,7.6k,140,119,--
771,Novo Nordisk,3.6,1.4k,6.5k,101,135,10
772,Sunknowledge Services ,3.4,1.4k,3.9k,110,209,1
773,R Systems International,3.7,1.4k,7.6k,176,129,18
774,Fino Payments Bank,3.8,1.4k,4k,64,104,8
775,iMerit,3.2,1.4k,5.8k,119,102,--
776,JSW Cement,4.1,1.4k,4.3k,141,116,13
777,Sharekhan,3.7,1.4k,5.2k,100,116,--
778,Troikaa Pharmaceuticals,4.1,1.4k,3.9k,124,111,6
779,Amity University,3.6,1.4k,5.2k,118,125,2
780,TCS iON,3.8,1.4k,4.1k,411,181,1
781,Incedo,2.9,1.4k,10.6k,209,117,17
782,Bajaj Housing Finance,3.5,1.4k,5.9k,73,60,5
783,INDIUM,3.9,1.4k,7.1k,259,52,65
784,Paytm Payments Bank,3.9,1.4k,5.6k,143,121,--
785,Aforeserve,3.4,1.4k,3.6k,93,89,3
786,Iffco Tokio General Insurance Co.,3.8,1.4k,4.1k,52,114,6
787,Faurecia,3.9,1.4k,6k,72,182,1
788,The Ramco Cements,4.1,1.4k,4.4k,520,105,4
789,TE Connectivity,4.1,1.4k,7.6k,102,154,15
790,Unichem Laboratories,3.7,1.4k,5.2k,96,131,--
791,Bharat FIH,3.7,1.4k,5.3k,92,76,1
792,Grant Thornton,3.4,1.4k,11.7k,120,87,--
793,Sheenlac Paints,4.1,1.4k,1.7k,210,46,138
794,Aptara,3.1,1.4k,6.4k,79,115,5
795,Burger King,3.9,1.4k,3.5k,103,138,6
796,Viraj Profiles,4.1,1.4k,4.5k,101,149,2
797,FDC,3.7,1.4k,3.7k,70,92,5
798,DEXIT Global,3.4,1.4k,5.6k,142,115,--
799,ZF Steering Gear,3.7,1.3k,7.4k,62,99,3
800,Brillio,3.4,1.3k,10.8k,143,79,25
801,Hindware Limited,3.9,1.3k,4.6k,88,134,2
802,Hatsun Agro Product,3.8,1.3k,4.8k,86,106,1
803,GE,4.1,1.3k,7.5k,116,140,--
804,Decathlon,3.7,1.3k,4.4k,120,122,20
805,CreditAccess Grameen,3.9,1.3k,2.6k,55,74,14
806,CenturyPly,3.8,1.3k,4.5k,101,68,13
807,Collabera Talent Solutions,3.5,1.3k,6.9k,152,111,--
808,GEP Worldwide,3.6,1.3k,9.5k,158,131,12
809,ManpowerGroup,3.6,1.3k,5.2k,71,86,14
810,RBL FinServe,3.9,1.3k,3.1k,70,85,6
811,JioMart,3.9,1.3k,4.3k,120,80,6
812,Baroda Global Shared Services,3.9,1.3k,3.1k,133,36,5
813,NetAmbit,4.0,1.3k,3.1k,173,40,7
814,More Supermarket ,3.6,1.3k,4.1k,94,61,1
815,VIBGYOR Group of Schools,3.5,1.3k,4.2k,100,105,--
816,Nippon Paint India,4.0,1.3k,4k,82,91,11
817,Punjab National Bank,3.9,1.3k,3k,66,104,6
818,Cinépolis,3.8,1.3k,3k,83,153,1
819,Shubham Housing Development Finance,3.9,1.3k,3k,53,79,9
820,OM Logistics,3.9,1.3k,4k,96,106,5
821,SK Finance Limited,3.8,1.3k,3.7k,91,20,31
822,Spicejet,3.3,1.3k,5.1k,106,160,4
823,Big Bazaar,4.4,1.3k,2.2k,47,191,1
824,NxtWave,3.5,1.3k,3.4k,293,21,1
825,Atul,3.9,1.3k,5.2k,103,117,8
826,Mondelez International,4.1,1.3k,4.8k,77,132,10
827,Astral Pipe,4.0,1.3k,4.3k,96,33,3
828,ICICI Prudential Mutual Fund,3.9,1.3k,5.8k,89,92,--
829,Ion Exchange India,3.7,1.3k,5.2k,100,93,5
830,Globant,3.4,1.3k,10.6k,210,104,9
831,Royal Migration Solutions,4.9,1.3k,5,1,1,--
832,Centre for Development of Advanced Computing,3.6,1.3k,7k,126,63,--
833,Fabindia,3.7,1.3k,4k,62,120,4
834,OpenText Technologies,3.3,1.3k,12.3k,197,90,3
835,Samsung Research,3.0,1.3k,9.9k,150,146,--
836,Bluestock ™,4.5,1.3k,63,389,1,1
837,Luminous Power Technologies,4.1,1.3k,4.2k,100,129,--
838,Pantaloons,4.1,1.3k,2.9k,69,136,5
839,Aarvee Associates,3.7,1.3k,3.4k,103,109,4
840,Hindustan Construction Company,4.2,1.3k,3.2k,96,161,1
841,Jakson Group,4.1,1.3k,4k,107,103,4
842,T-Systems ICT India,3.7,1.3k,9k,112,96,14
843,Apex Group,2.6,1.3k,8.4k,188,39,4
844,Vestas,4.1,1.3k,5.4k,100,138,6
845,Spandana Sphoorty Financial,3.8,1.3k,2.4k,57,89,9
846,ANZ Banking Group,3.7,1.3k,8.4k,110,105,--
847,Tenneco,3.6,1.3k,5.3k,72,120,--
848,Sigma Electric Manufacturing Corporation,4.0,1.3k,2.8k,78,208,7
849,Godrej Consumer Products,4.0,1.3k,4.9k,62,123,5
850,Electronics Corporation of India Limited,4.2,1.3k,3.2k,62,106,3
851,Fresenius Kabi,4.0,1.3k,4.1k,58,119,8
852,Panasonic,4.0,1.3k,4.8k,52,153,--
853,SKF,4.0,1.3k,4.6k,78,156,3
854,Automotive Manufacturers,3.8,1.3k,5.2k,104,77,2
855,H.G. Infra Engineering,4.0,1.3k,3.3k,110,94,11
856,AGS Transact Technologies,2.8,1.3k,3.8k,45,130,1
857,KIMS Hospital,3.7,1.3k,3.8k,63,81,3
858,Intertek,3.8,1.3k,4.1k,85,117,9
859,PNC Infratech,3.8,1.3k,3.5k,83,82,6
860,Dassault Systemes,3.7,1.3k,7.5k,189,136,3
861,Dell EMC,3.8,1.3k,8.3k,74,193,1
862,DP World,3.8,1.3k,5.3k,103,69,8
863,Zoho,4.1,1.3k,10.2k,589,104,24
864,iSON Xperiences,3.1,1.3k,3.3k,81,93,2
865,Shriram Pistons & Rings,4.0,1.3k,4.6k,77,140,4
866,Kalpataru Limited,4.2,1.3k,4.6k,282,85,2
867,Prodapt,3.5,1.3k,10k,119,76,11
868,Mu Sigma,2.5,1.3k,6.8k,254,123,11
869,AIIMS,4.2,1.2k,4.7k,71,69,21
870,Synchrony,4.2,1.2k,5.6k,95,203,23
871,Colliers India,3.9,1.2k,4.9k,99,81,10
872,Diageo,3.8,1.2k,6.4k,93,109,2
873,DLF,4.0,1.2k,5k,102,80,7
874,Jindal X,3.5,1.2k,2.8k,114,155,1
875,Nielsen,3.1,1.2k,6.8k,162,133,7
876,Oil And Natural Gas Corporation,4.3,1.2k,3.1k,80,139,2
877,Parexel International,3.8,1.2k,6.1k,88,126,9
878,Indostar Capital Finance Limited,4.3,1.2k,2.1k,201,45,6
879,Rockman Industries,3.8,1.2k,3.9k,98,102,2
880,Fidelity Investments,4.1,1.2k,8.1k,129,163,--
881,Rupeek,4.1,1.2k,3.3k,134,60,2
882,JTEKT,4.1,1.2k,4.4k,98,95,4
883,Wind World,4.0,1.2k,3.3k,89,122,--
884,ExcelR,3.6,1.2k,1.1k,109,3,10
885,Qualcomm,3.7,1.2k,15.3k,300,137,2
886,EbixCash Limited,3.6,1.2k,5.1k,110,74,1
887,Ahluwalia Contracts India,4.0,1.2k,3.5k,79,74,2
888,DENSO,4.1,1.2k,3.8k,86,180,7
889,Kirloskar Oil Engines,4.1,1.2k,4.2k,65,99,1
890,Strides Pharma,3.9,1.2k,4.4k,81,157,9
891,JK Lakshmi Cement,3.7,1.2k,3.8k,88,103,2
892,Best Sellers,4.1,1.2k,3k,34,132,4
893,Genius HRTech,3.8,1.2k,4k,76,73,--
894,Fidelity National Financial,3.7,1.2k,6.3k,62,157,7
895,ACG Worldwide,3.8,1.2k,3.9k,86,47,5
896,Innova Solutions,3.3,1.2k,8.3k,104,24,1
897,PHN Technology,4.2,1.2k,393,42,3,8
898,Zetwerk,4.0,1.2k,4.2k,119,61,152
899,Federal Bank,3.6,1.2k,6k,121,74,--
900,Leadec India,4.1,1.2k,3.6k,154,88,42
901,Intel,4.1,1.2k,9.3k,242,92,8
902,Baazar Retail Private Limited,4.5,1.2k,1.5k,86,21,12
903,Sri Chaitanya Techno Schools,3.5,1.2k,3.6k,79,4,1
904,Schaeffler India,4.0,1.2k,5.9k,69,110,9
905,Balkrishna Industries,4.0,1.2k,4.3k,71,68,--
906,Indira IVF Hospital,3.9,1.2k,3.1k,79,82,7
907,Thyrocare Technologies,3.7,1.2k,4.5k,88,96,4
908,HFCL Limited,3.8,1.2k,4.1k,86,91,2
909,Aptiv,3.4,1.2k,8.6k,127,50,23
910,Electronica Finance,4.1,1.2k,2.7k,144,38,20
911,PayPal,3.7,1.2k,10.2k,243,122,6
912,Prism Johnson,3.7,1.2k,4.5k,72,68,3
