,CompanyName,Rating,TotalReviews,SalaryOffereByComapany,TotalInterviews,Benefits,PhotosOnSite
99,Indiamart Intermesh,3.5,6.2k,21.6k,800,508,22
100,Virtusa Consulting Services,3.7,6.2k,57.8k,694,332,23
101,HSBC Group,3.8,6.1k,45.7k,565,1.2k,26
102,SMFG India Credit,3.9,6.1k,11.3k,217,372,22
103,HCL Group,3.5,6.1k,38.8k,526,669,1
104,Access Healthcare,3.7,6.1k,29.4k,418,382,9
105,BigBasket,3.9,6k,20.2k,505,397,36
106,ICICI Lombard General Insurance Company,3.5,5.9k,20.5k,375,399,22
107,Manappuram Finance,3.9,5.9k,9.5k,238,284,35
108,Siemens,4.0,5.9k,35k,521,654,13
109,GlobalLogic,3.5,5.9k,42.1k,699,542,21
110,Firstsource Solutions,3.5,5.9k,25.2k,371,589,14
111,Aurobindo Pharma,4.0,5.9k,20.4k,300,483,9
112,Shapoorji Pallonji Group,4.1,5.8k,15.6k,450,662,14
113,Tata Capital,3.9,5.8k,16.5k,290,279,24
114, UST,3.7,5.8k,41.5k,613,421,25
115,Standard Chartered,3.6,5.8k,42.6k,333,322,--
116,Swiggy,3.7,5.8k,24.7k,600,376,18
117,Mahindra Finance,3.8,5.8k,12.4k,229,538,12
118,Apollo Hospitals,4.0,5.8k,17.1k,506,551,2
119,Bosch Global Software Technologies,3.7,5.7k,41.3k,397,641,21
120,Udaan,3.9,5.7k,15.2k,376,764,16
121,Citicorp,3.6,5.6k,55.1k,646,537,6
122,Ashok Leyland,4.0,5.6k,19k,334,662,15
123,Hero MotoCorp,4.1,5.6k,16.5k,432,617,10
124,CGI Inc,4.0,5.5k,47.9k,575,359,5
125,SBI Cards & Payment Services,3.6,5.4k,16.2k,326,370,14
126,NTT DATA,3.8,5.4k,39.1k,777,555,2
127,Kalpataru Projects International,4.1,5.4k,14.3k,346,227,22
128,Cyient,3.6,5.4k,27.7k,340,484,3
129,BNY,3.6,5.4k,32.5k,408,551,1
130,Nagarjuna Construction Company,4.0,5.4k,12.8k,466,436,13
131,IQVIA,3.7,5.4k,32.5k,577,541,10
132,Schneider Electric,4.1,5.3k,26.3k,470,461,13
133,SBI Life Insurance Company,3.7,5.3k,12.2k,326,354,18
134,JustDial,3.5,5.2k,15.4k,401,380,9
135,CBRE,4.1,5.2k,19.5k,363,479,19
136,TVS Motor,3.8,5.2k,16.9k,429,562,15
137,State Bank of India,3.9,5.2k,11.9k,346,432,5
138,Persistent Systems,3.6,5.1k,47.4k,726,381,33
139,KEC International,4.0,5.1k,13.8k,436,470,54
140,ITC Infotech ,3.8,5k,30.5k,428,293,11
141,Atos,3.8,5k,33.4k,419,470,10
142,Amdocs,3.6,5k,37.8k,566,626,22
143,vivo,4.0,5k,12.9k,248,653,3
144,Varun Beverages,4.0,4.9k,12.4k,360,339,32
145,JBM Group,3.9,4.9k,14.2k,367,364,21
146,Utkarsh Small Finance Bank,3.6,4.9k,11.5k,329,303,54
147,Ecom Express,4.1,4.9k,9.3k,268,333,39
148,Nagarro,3.9,4.8k,34k,844,1.2k,16
149,Randstad,3.7,4.8k,17.5k,344,359,7
150,Eviden,3.6,4.8k,26.4k,316,4,11
151,EY Global Delivery Services ( EY GDS),3.5,4.8k,54.1k,917,359,17
152,Bosch,4.1,4.8k,21.4k,389,619,18
153,Intas Pharmaceuticals,4.1,4.7k,18k,271,397,9
154,Havells,3.9,4.7k,16.1k,309,339,13
155,Hetero,3.9,4.7k,15.6k,412,379,15
156,L&T Finance,3.9,4.7k,12.3k,234,270,34
157,Aditya Birla Fashion and Retail,4.0,4.7k,13.4k,274,401,14
158,Hewlett Packard Enterprise,4.0,4.7k,27.8k,271,559,18
159,R1 RCM,3.8,4.7k,22.5k,371,352,23
160,Tata AIA Life Insurance,3.8,4.7k,14.5k,267,317,23
161,Cars24,3.4,4.7k,16.1k,418,423,18
162,Mahindra Logistics,3.7,4.6k,12.9k,254,461,24
163,Dell,3.8,4.6k,29.4k,438,552,25
164,Home Credit Finance,4.0,4.6k,9.2k,153,641,6
165,Berger Paints,3.7,4.6k,10.9k,455,288,6
166,Lenskart,3.3,4.6k,13.7k,490,235,24
167,Deutsche Bank,3.8,4.6k,38.7k,437,422,81
168,Motilal Oswal Financial Services,3.7,4.5k,13.7k,561,184,90
169,OPPO,3.9,4.5k,11.8k,261,614,10
170,Hyundai Motor India Limited,4.1,4.5k,14.7k,332,539,31
171,TeamLease Services,3.9,4.5k,16.6k,260,237,6
172,VE Commercial Vehicles,3.9,4.4k,14.5k,301,366,13
173,Thermax Limited,4.2,4.4k,13.5k,358,395,24
174,Jubilant Foods Works,3.7,4.3k,9.9k,263,203,18
175,Carelon Global Solutions,3.9,4.3k,29.3k,430,25,13
176,Macleods Pharmaceuticals,3.7,4.3k,16.1k,278,348,3
177,Aakash Educational Services,3.2,4.3k,14k,384,218,25
178,State Street Corporation,3.5,4.3k,34.5k,303,276,11
179,Jindal Steel Limited,3.9,4.3k,16.2k,444,351,37
180,Bajaj Auto,3.8,4.3k,14.9k,336,506,19
181,Hindalco Industries,4.2,4.2k,13.4k,323,349,18
182,LG Electronics,3.8,4.2k,11.3k,272,415,18
183,Kogta Financial India Limited,4.6,4.2k,2k,252,35,39
