searchTerms,rank,title,snippet,displayLink,link,queryTime,totalResults,cacheId,formattedUrl,htmlFormattedUrl,htmlSnippet,htmlTitle,kind,pagemap,cseName,count,startIndex,inputEncoding,outputEncoding,safe,cx,gl,searchTime,formattedSearchTime,formattedTotalResults
flights to hong kong,1,"$103 Flights to Hong Kong, China (HKG) - Tripadvisor","Book Cheap Flights to Hong Kong: Search and compare airfares on Tripadvisor 
to find the best flights for your trip to Hong Kong. Choose the best airline for you ...",www.tripadvisor.com,https://www.tripadvisor.com/Flights-g294217-Hong_Kong-Cheap_Discount_Airfares.html,2020-04-01 11:25:53.059369+00:00,178000000,5jsjhmxgxvkJ,https://www.tripadvisor.com/Flights-g294217-Hong_Kong-Cheap_Discount_ Airfares.html,https://www.tripadvisor.com/<b>Flights</b>-g294217-<b>Hong</b>_<b>Kong</b>-Cheap_Discount_ Airfares.html,"Book Cheap <b>Flights to Hong Kong</b>: Search and compare airfares on Tripadvisor <br>
to find the best flights for your trip to Hong Kong. Choose the best airline for you&nbsp;...","$103 <b>Flights to Hong Kong</b>, China (HKG) - Tripadvisor",customsearch#result,"{'cse_thumbnail': [{'src': 'https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTFPfqt2KmCM_CtwPgwv2Xlh-2VG3vXMCckivdJ1dbRXv5ial8Bycdn3m2q', 'width': '259', 'height': '194'}], 'metatags': [{'og:image': 'https://media-cdn.tripadvisor.com/media/photo-s/01/31/34/10/tsim-sha-tsui-waterfront.jpg', 'theme-color': '#34e0a1', 'og:image:width': '550', 'og:type': 'website', 'og:site_name': 'Tripadvisor', 'og:title': '$103 Flights to Hong Kong, China (HKG) - Tripadvisor', 'og:image:height': '412', 'og:description': 'Book Cheap Flights to Hong Kong: Search and compare airfares on Tripadvisor to find the best flights for your trip to Hong Kong. Choose the best airline for you by reading reviews and viewing hundreds of ticket rates for flights going to and from your destination.', 'fb:pages': '5863091683', 'twitter:image': 'https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x550.png', 'fb:app_id': '162729813767876', 'viewport': 'width=device-width, initial-scale=1.0, user-scalable=no', 'fb:admins': '100000982334629', 'og:url': 'http://www.tripadvisor.com/Flights-g294217-Hong_Kong-Cheap_Discount_Airfares.html', 'format-detection': 'telephone=no'}], 'cse_image': [{'src': 'https://media-cdn.tripadvisor.com/media/photo-s/01/31/34/10/tsim-sha-tsui-waterfront.jpg'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.482802,0.48,"178,000,000"
flights to hong kong,2,Flights to Hong Kong (HKG) | Cathay Pacific,"Find & book great deals on Hong Kong (HKG) Flights. Fly to Hong Kong with 
Cathay Pacific and experience award-winning service.",www.cathaypacific.com,https://www.cathaypacific.com/destinations/en_US/flights-to-hong-kong,2020-04-01 11:25:53.059369+00:00,178000000,UEdjkoYlsQsJ,https://www.cathaypacific.com/destinations/en_US/flights-to-hong-kong,https://www.cathaypacific.com/destinations/en_US/<b>flights-to-hong</b>-<b>kong</b>,"Find &amp; book great deals on <b>Hong Kong</b> (HKG) <b>Flights</b>. Fly to <b>Hong Kong</b> with <br>
Cathay Pacific and experience award-winning service.",<b>Flights to Hong Kong</b> (HKG) | Cathay Pacific,customsearch#result,"{'cse_thumbnail': [{'src': 'https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR8AOJvJmJMQ7vhvEVmOd3_x5XMPfKbA7IZzf_VTq2dEa8heBITRbob0dpD', 'width': '318', 'height': '159'}], 'metatags': [{'og:image': 'https://www.cathaypacific.com/dam/focal-point/cx/city-offer-thumbnail/HKG.jpg/jcr:content/renditions/', 'twitter:card': 'summary_large_image', 'twitter:title': 'Flights to Hong Kong (HKG) | Cathay Pacific', 'viewport': 'width=device-width, initial-scale=1, user-scalable=0', 'twitter:description': 'Find & book great deals on Hong Kong (HKG) Flights. Fly to Hong Kong with Cathay Pacific and experience award-winning service', 'og:title': 'Flights to Hong Kong (HKG) | Cathay Pacific', 'og:description': 'Find & book great deals on Hong Kong (HKG) Flights. Fly to Hong Kong with Cathay Pacific and experience award-winning service', 'twitter:image': 'https://www.cathaypacific.com/dam/focal-point/cx/city-offer-thumbnail/HKG.jpg/jcr:content/renditions/'}], 'webpage': [{'primaryimageofpage': 'https://www.cathaypacific.com/dam/focal-point/cx/city-offer-thumbnail/HKG.jpg/jcr:content/renditions/cq5dam.rendition.900.450.jpg'}], 'cse_image': [{'src': 'https://www.cathaypacific.com/dam/focal-point/cx/city-offer-thumbnail/HKG.jpg/jcr:content/renditions/cq5dam.rendition.900.450.jpg'}], 'listitem': [{'item': 'Home', 'name': 'Home', 'position': '1'}, {'item': 'Cathay Pacific Flights', 'name': 'Cathay Pacific Flights', 'position': '2'}, {'item': 'To Hong Kong SAR', 'name': 'To Hong Kong SAR', 'position': '3'}, {'item': 'To Hong Kong', 'name': 'To Hong Kong', 'position': '4'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.482802,0.48,"178,000,000"
flights to hong kong,3,"Cheap Flights to Hong Kong SAR, Asia (HKG Airport) $407 in 2020 ...","Looking for cheap flights to Hong Kong SAR from airlines such as American 
Airlines, Delta, United, JetBlue, Frontier, and more? Compare prices on Expedia 
to ...",www.expedia.com,https://www.expedia.com/Cheap-Flights-To-Hong-Kong-SAR.d178263.Travel-Guide-Flights,2020-04-01 11:25:53.059369+00:00,178000000,iEmRbX0P8CAJ,https://www.expedia.com/Cheap-Flights-To-Hong-Kong-SAR.d178263. Travel-Guide-Flights,https://www.expedia.com/Cheap-<b>Flights-To-Hong</b>-<b>Kong</b>-SAR.d178263. Travel-Guide-<b>Flights</b>,"Looking for cheap <b>flights to Hong Kong</b> SAR from airlines such as American <br>
Airlines, Delta, United, JetBlue, Frontier, and more? Compare prices on Expedia <br>
to&nbsp;...","Cheap <b>Flights to Hong Kong</b> SAR, Asia (HKG Airport) $407 in 2020 ...",customsearch#result,"{'cse_thumbnail': [{'src': 'https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT6lLgivVVjEHWZxZKnTicKIC3-HaOLXA30jUZxrhC6aGJJZpLT9A1TIE_I', 'width': '300', 'height': '168'}], 'metatags': [{'data-fm-seo': '17345462', 'og:image': 'https://images.trvl-media.com/media/content/shared/images/travelguides/Hong-Kong-all-178263-desktopRetina.jpg', 'flex:template-version': '110', 'og:type': 'website', 'flex:template-fm-id': '1450', 'og:site_name': 'Expedia.com', 'og:title': 'Cheap Flights to Hong Kong SAR, Asia (HKG Airport) $407 in 2020 | Expedia', 'ewe:page-epoch': '1585725769522', 'og:image:type': 'image/jpeg', 'oip.set': 'false', 'oip.cantrack': 'true', 'ewe:page': 'FLEX', 'og:description': 'Looking for cheap flights to Hong Kong SAR from airlines such as American Airlines, Delta, United, JetBlue, Frontier, and more? Compare prices on Expedia to get the best flight deals and promotions for Hong Kong SAR flights before you book!', 'oip.yes': 'false', 'essclientid': 'flex.flight.Flight-Destinations', 'viewport': 'width=device-width, initial-scale=1.0', 'flex:page-type': 'FLIGHT_DESTINATIONS', 'og:locale': 'en_US', 'flex:template-id': '1-en_US-Global_Brand-Travel-Guide-Flights-Generic', 'oip.no': 'false', 'og:url': 'https://www.expedia.com/Cheap-Flights-To-Hong-Kong-SAR.d178263.Travel-Guide-Flights'}], 'cse_image': [{'src': 'https://images.trvl-media.com/media/content/shared/images/travelguides/Hong-Kong-all-178263-desktopRetina.jpg'}], 'listitem': [{'name': 'Flights to Hong Kong SAR', 'position': '4'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.482802,0.48,"178,000,000"
flights to hong kong,4,Cheap Flights to Hong Kong (HKG) from $487 - KAYAK,"Find flights to Hong Kong on China Eastern, Asiana Airlines, United Airlines and 
more. Fly round-trip from Chicago from $487, from Seattle from $502, from ...",www.kayak.com,https://www.kayak.com/flight-routes/United-States-US0/Hong-Kong-Intl-HKG,2020-04-01 11:25:53.059369+00:00,178000000,W42baDpas_gJ,https://www.kayak.com/flight-routes/United-States.../Hong-Kong-Intl-HKG,https://www.kayak.com/<b>flight</b>-routes/United-States.../<b>Hong</b>-<b>Kong</b>-Intl-HKG,"Find <b>flights to Hong Kong</b> on China Eastern, Asiana Airlines, United Airlines and <br>
more. Fly round-trip from Chicago from $487, from Seattle from $502, from&nbsp;...",Cheap <b>Flights to Hong Kong</b> (HKG) from $487 - KAYAK,customsearch#result,"{'cse_thumbnail': [{'src': 'https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSbn_RdX_tx_e6SYeT1yExQjzRINNvuyE2N_fODdYli_aenA92kt0w6zlE', 'width': '256', 'height': '144'}], 'metatags': [{'r9-rendered': '20200331.105430.EDT', 'og:image': 'https://content.r9cdn.net/rimg/dimg/62/27/4f546e9f-lm-106124-16dd8c43b8d.jpg?width=1200&height=630&crop=false', 'og:image:width': '1200', 'og:type': 'website', 'twitter:card': 'summary_large_image', 'twitter:title': 'Cheap Flights to Hong Kong (HKG) from $487 - KAYAK', 'og:site_name': 'KAYAK', 'msvalidate.01': 'F474AA342B64B17CDE53F5C5D4C07C7A', 'seop': 'US0-HKG', 'og:title': 'Cheap Flights to Hong Kong (HKG) from $487 - KAYAK', 'og:image:height': '630', 'r9-version': 'R509a', 'og:description': 'Find flights to Hong Kong on China Eastern, Asiana Airlines, United Airlines and more. Fly round-trip from Chicago from $487, from Seattle from $502, from Raleigh from $525, from San Francisco from $525, from Los Angeles from $554. Search for Hong Kong flights on KAYAK now to find the best deal.', 'fb:pages': '90811893045', 'twitter:creator': '@KAYAK', 'twitter:image:src': 'https://content.r9cdn.net/rimg/dimg/62/27/4f546e9f-lm-106124-16dd8c43b8d.jpg?width=440&height=220&crop=false', 'kayak_page': 'flight,static-flight-route,unknown', 'insight-app-sec-validation': 'af188ca0-1818-47ab-bc00-80a6b93a47d0', 'twitter:site': '@KAYAK', 'viewport': 'width=device-width, initial-scale=1', 'twitter:description': 'Find flights to Hong Kong on China Eastern, Asiana Airlines, United Airlines and more. Fly round-trip from Chicago from $487, from Seattle from $502, from Raleigh from $525, from San Francisco from $525, from Los Angeles from $554. Search for Hong Kong flights on KAYAK now to find the best deal.', 'r9-built': '20200331.051205', 'og:url': 'https://www.kayak.com/flight-routes/United-States-US0/Hong-Kong-Intl-HKG', 'format-detection': 'telephone=no'}], 'cse_image': [{'src': 'https://www.kayak.com/rimg/dimg/62/27/4f546e9f-lm-106124-16dd8c43b8d.jpg?crop=true&width=256&height=144'}], 'listitem': [{'item': 'Flights', 'name': 'Flights', 'position': '1'}, {'item': 'Flights', 'name': 'Flights', 'position': '1'}, {'item': 'Worldwide', 'name': 'Worldwide', 'position': '2'}, {'item': 'Asia', 'name': 'Asia', 'position': '3'}, {'item': 'Hong Kong', 'name': 'Hong Kong', 'position': '4'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.482802,0.48,"178,000,000"
flights to hong kong,5,$404 Cheap Flights to Hong Kong Intl in 2020 | Skyscanner,"Find cheap flights to Hong Kong Intl (HKG) in 2019 using Skyscanner's flight 
comparison tool. We compare all major airlines and travel agents for flights to 
Hong ...",www.skyscanner.com,https://www.skyscanner.com/flights-to/hkg/cheap-flights-to-hong-kong-intl-airport.html,2020-04-01 11:25:53.059369+00:00,178000000,YU4I4h8FLkwJ,https://www.skyscanner.com/flights-to/hkg/cheap-flights-to-hong-kong-intl- airport.html,https://www.skyscanner.com/<b>flights-to/hk</b>g/cheap-<b>flights-to-hong</b>-<b>kong</b>-intl- airport.html,"Find cheap <b>flights to Hong Kong</b> Intl (HKG) in 2019 using Skyscanner&#39;s flight <br>
comparison tool. We compare all major airlines and travel agents for flights to <br>
Hong&nbsp;...",$404 Cheap <b>Flights to Hong Kong</b> Intl in 2020 | Skyscanner,customsearch#result,"{'metatags': [{'msapplication-tilecolor': '#0770e3', 'msapplication-packagefamilyname': 'Skyscanner.Skyscanner_623c9he0pwcym', 'theme-color': '#0770e3', 'skype_toolbar': 'SKYPE_TOOLBAR_PARSER_COMPATIBLE', 'viewport': 'width=device-width, initial-scale = 1.0, maximum-scale=1.0, user-scalable=no', 'msapplication-minversion': '1.2.0.0', 'y_key': '3ccd97fca3bc5b05', 'msapplication-id': 'App'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.482802,0.48,"178,000,000"
flights to hong kong,6,Cheap Flights to Hong Kong - Search Deals on Airfare to Hong ...,"Looking for cheap flights to Hong Kong from your destination? Search for airfare 
and flight ticket deals at cheapflights.com and book your next flight today.",www.cheapflights.com,https://www.cheapflights.com/flights-to-hong-kong/,2020-04-01 11:25:53.059369+00:00,178000000,INTDzvyAb2IJ,https://www.cheapflights.com/flights-to-hong-kong/,https://www.cheap<b>flights</b>.com/<b>flights-to-hong</b>-<b>kong</b>/,"Looking for cheap <b>flights to Hong Kong</b> from your destination? Search for airfare <br>
and flight ticket deals at cheapflights.com and book your next flight today.",Cheap <b>Flights to Hong Kong</b> - Search Deals on Airfare to Hong ...,customsearch#result,"{'cse_thumbnail': [{'src': 'https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSl45bMZKxgmZGoSJYByNvbZK8NE2HrStlusRQIQQljGiOSpDrXRCjpf5VP', 'width': '310', 'height': '163'}], 'metatags': [{'r9-rendered': '20200330.052230.EDT', 'og:image': 'https://www.cheapflights.com/rimg/dimg/6d/eb/261de75b-ctry-108-16307d765b7.jpg?width=1200&height=630&crop=false', 'og:image:width': '1200', 'og:type': 'website', 'twitter:card': 'summary_large_image', 'twitter:title': 'Cheap Flights to Hong Kong - Search Deals on Airfare to Hong Kong from Cheapflights.com', 'og:site_name': 'Cheapflights', 'seop': 'hong-kong', 'og:title': 'Cheap Flights to Hong Kong - Search Deals on Airfare to Hong Kong from Cheapflights.com', 'og:image:height': '630', 'r9-version': 'R508c', 'kayak_seo_splitxp': 'xp-new-brp-meta-description.xpv-disabled,xp-sticky-search-form.xpv-control-group', 'og:description': 'Looking for cheap flights to Hong Kong from your destination? Search for airfare and flight ticket deals at cheapflights.com and book your next flight today.', 'fb:pages': '90811893045', 'twitter:creator': '@Cheapflights', 'twitter:image:src': 'https://www.cheapflights.com/rimg/dimg/6d/eb/261de75b-ctry-108-16307d765b7.jpg?width=440&height=220&crop=false', 'kayak_page': 'flight,static-flight-route,destination', 'cfcms-destination-code': 'HK', 'twitter:site': '@Cheapflights', 'viewport': 'width=device-width, initial-scale=1', 'twitter:description': 'Looking for cheap flights to Hong Kong from your destination? Search for airfare and flight ticket deals at cheapflights.com and book your next flight today.', 'r9-built': '20200326.004357', 'og:url': 'https://www.cheapflights.com/flights-to-hong-kong/', 'format-detection': 'telephone=no'}], 'cse_image': [{'src': 'https://www.cheapflights.com/rimg/dimg/6d/eb/261de75b-ctry-108-16307d765b7.jpg?width=1200&height=630&crop=false'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.482802,0.48,"178,000,000"
flights to hong kong,7,Coronavirus: as travellers rush to beat quarantine measures on ...,"Mar 16, 2020 ... By Monday afternoon, no tickets were available for flights arriving from London 
before Thursday, when the Hong Kong government planned to ...",www.scmp.com,https://www.scmp.com/news/hong-kong/health-environment/article/3075402/coronavirus-travellers-rush-beat-quarantine,2020-04-01 11:25:53.059369+00:00,178000000,nCTb1MATe1kJ,https://www.scmp.com/.../hong-kong/.../coronavirus-travellers-rush-beat- quarantine,https://www.scmp.com/.../<b>hong</b>-<b>kong</b>/.../coronavirus-travellers-rush-beat- quarantine,"Mar 16, 2020 <b>...</b> By Monday afternoon, no tickets were available for <b>flights</b> arriving from London <br>
before Thursday, when the <b>Hong Kong</b> government planned to&nbsp;...",Coronavirus: as travellers rush to beat quarantine measures on ...,customsearch#result,"{'cse_thumbnail': [{'src': 'https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTz23fYS83MgJHAKsxd-qezS59mz3CeR5-ve6xHYOTdQTsNOggDO8HQxeU', 'width': '310', 'height': '163'}], 'metatags': [{'apple-itunes-app': 'app-id=623201967', 'og:image': 'https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/methode/2020/03/16/1578a2d0-6747-11ea-9de8-4adc9756b5c3_image_hires_210729.jpg?itok=DHeHNWou&v=1584364057', 'twitter:card': 'summary_large_image', 'article:published_time': '2020-03-16T17:22:29+08:00', 'theme-color': '#ffffff', 'cse_topic': 'Coronavirus outbreak,Coronavirus outbreak: All stories', 'og:site_name': 'South China Morning Post', 'al:android:package': 'com.scmp.newspulse', 'cse_headline': 'Coronavirus: as travellers rush to beat quarantine measures on Britain and the US, flights to Hong Kong balloon in price', 'cse_uuid': '0dc93344-6745-11ea-9de8-4adc9756b5c3', 'cse_articletype': 'Generic', 'al:ios:url': 'scmp://news/hong-kong/health-environment/article/3075402/coronavirus-travellers-rush-beat-quarantine?entity=node&type=article&id=3075402', 'cse_author': 'Chris Lau,Laura Westbrook', 'og:description': 'Arrivals from popular study-abroad destinations, as well as Ireland and Egypt, face 14-day orders from Thursday.', 'cse_sectionname': 'News,Hong Kong,Health & Environment', 'al:ios:app_store_id': '623201967', 'cse_type': 'Article', 'pocket-site-verification': '25fd909c3fd10ded451415fc076ba8', 'twitter:site': '@SCMPNews', 'article:modified_time': '2020-03-16T23:58:10+08:00', 'cse_not_open_in_app': 'false', 'news_keywords': 'coronavirus', 'cse_summary': 'Arrivals from popular study-abroad destinations, as well as Ireland and Egypt, face 14-day orders from Thursday.', 'twitter:title': 'As travellers rush to beat quarantine, flights to Hong Kong balloon in price', 'og:type': 'article', 'article:section': 'News', 'al:ios:app_name': 'SCMP', 'og:title': 'As travellers rush to beat quarantine, flights to Hong Kong balloon in price', 'cse_socialheadline': 'As travellers rush to beat quarantine, flights to Hong Kong balloon in price', 'og:updated_time': '2020-03-16T23:58:10+08:00', 'cse_square_mainimage': 'https://cdn.i-scmp.com/sites/default/files/styles/118x118/public/d8/images/methode/2020/03/16/1578a2d0-6747-11ea-9de8-4adc9756b5c3_image_hires_210729.jpg?itok=cAUoiYzA&v=1584364057', 'twitter:image:src': 'https://cdn.i-scmp.com/sites/default/files/styles/og_twitter_scmp_generic/public/d8/images/methode/2020/03/16/1578a2d0-6747-11ea-9de8-4adc9756b5c3_image_hires_210729.jpg?itok=evTMPUCR&v=1584364057', 'article:tag': 'Coronavirus outbreak', 'al:android:url': 'scmp://news/hong-kong/health-environment/article/3075402/coronavirus-travellers-rush-beat-quarantine?entity=node&type=article&id=3075402', 'fb:app_id': '282931841805811', 'viewport': 'width=device-width, maximum-scale=1, user-scalable=no, initial-scale=1', 'twitter:description': 'Arrivals from popular study-abroad destinations, as well as Ireland and Egypt, face 14-day orders from Thursday.', 'mobile-web-app-capable': 'yes', 'og:url': 'https://www.scmp.com/news/hong-kong/health-environment/article/3075402/coronavirus-travellers-rush-beat-quarantine', 'al:android:app_name': 'SCMP', 'cse_mainimage': 'https://cdn.i-scmp.com/sites/default/files/styles/652x446/public/d8/images/methode/2020/03/16/1578a2d0-6747-11ea-9de8-4adc9756b5c3_image_hires_210729.jpg?itok=biNBoAcR&v=1584364057'}], 'cse_image': [{'src': 'https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/methode/2020/03/16/1578a2d0-6747-11ea-9de8-4adc9756b5c3_image_hires_210729.jpg?itok=DHeHNWou&v=1584364057'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.482802,0.48,"178,000,000"
flights to hong kong,8,First People Fled Hong Kong. Now They're Rushing Back And ...,"Mar 14, 2020 ... Hong Kong's largest airline will add three flights to London, one each March 17-
19, and is deciding how to increase capacity to the United ...",www.forbes.com,https://www.forbes.com/sites/willhorton1/2020/03/14/first-people-fled-hong-kong-now-theyre-rushing-back-and-cathay-pacific-is-adding-flights-as-city-proves-safe-spot-in-coronavirus-outbreak/,2020-04-01 11:25:53.059369+00:00,178000000,IUPrmmTiIjcJ,https://www.forbes.com/.../first-people-fled-hong-kong-now-theyre-rushing- back-and-cathay-pacific-is-adding-flights-as-city-proves-safe-spot-in- ...,https://www.forbes.com/.../first-people-fled-<b>hong</b>-<b>kong</b>-now-theyre-rushing- back-and-cathay-pacific-is-adding-<b>flights</b>-as-city-proves-safe-spot-in- ...,"Mar 14, 2020 <b>...</b> <b>Hong Kong&#39;s</b> largest airline will add three <b>flights</b> to London, one each March 17-<br>
19, and is deciding how to increase capacity to the United&nbsp;...",First People Fled <b>Hong Kong</b>. Now They&#39;re Rushing Back And ...,customsearch#result,"{'cse_thumbnail': [{'src': 'https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRJ2PWUPY9ZSzOc8STOK1VbN5TFnJhxO6h2nBGPj1fjpoQKN6WAaLIn9YE', 'width': '293', 'height': '172'}], 'metatags': [{'og:image': 'https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F1096219044%2F0x0.jpg', 'apple-itunes-app': 'app-id=588647136', 'twitter:card': 'summary_large_image', 'og:site_name': 'Forbes', 'article:id': 'blogAndPostId/blog/post/7179-5e6d186be896bf0006c97ae8', 'og:description': 'Hong Kong’s largest airline will add three flights to London, one each March 17-19, and is deciding how to increase capacity to the United States, either through additional flights or using larger aircraft.', 'twitter:creator': '@winglets747', 'article:publisher': 'https://www.facebook.com/forbes', 'twitter:image': 'https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F1096219044%2F0x0.jpg', 'twitter:site': '@forbes', 'news_keywords': 'coronavirus,covid-19,hong kong,cathay pacific,london,u.k.,u.s.,london heathrow,air travel,travel,air transportation,air transport,aviation', 'article:published': '2020-03-14', 'article:section': 'Industry', 'og:type': 'article', 'twitter:title': 'First People Fled Hong Kong. Now They’re Rushing Back And Cathay Pacific Is Adding Flights As City Proves Safe Spot In Coronavirus Outbreak', 'author': 'Will Horton', 'article:section_url': 'https://www.forbes.com/aerospace-defense/old/', 'og:title': 'First People Fled Hong Kong. Now They’re Rushing Back And Cathay Pacific Is Adding Flights As City Proves Safe Spot In Coronavirus Outbreak', 'og:updated_time': '2020-03-16T03:15:35.859-04:00', 'referrer': 'no-referrer-when-downgrade', 'fb:app_id': '123694841080850', 'viewport': 'width=device-width,initial-scale=1,maximum-scale=5,minimum-scale=1,user-scalable=yes', 'twitter:description': 'Hong Kong’s largest airline will add three flights to London, one each March 17-19, and is deciding how to increase capacity to the United States, either through additional flights or using larger aircraft.', 'og:url': 'https://www.forbes.com/sites/willhorton1/2020/03/14/first-people-fled-hong-kong-now-theyre-rushing-back-and-cathay-pacific-is-adding-flights-as-city-proves-safe-spot-in-coronavirus-outbreak/', 'article:modified': '2020-03-16'}], 'cse_image': [{'src': 'https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F1096219044%2F0x0.jpg'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.482802,0.48,"178,000,000"
flights to hong kong,9,suspended flights to China and Hong Kong,"Feb 11, 2020 ... American Airlines on Tuesday said it won't resume flights to mainland China and 
Hong Kong until late April, a month or two longer than previous ...",www.usatoday.com,https://www.usatoday.com/story/travel/airline-news/2020/02/11/coronavirus-american-airlines-wont-resume-china-flights-until-april/4723966002/,2020-04-01 11:25:53.059369+00:00,178000000,248PR9nc0Y4J,https://www.usatoday.com/story/travel/airline...flights.../4723966002/,https://www.usatoday.com/story/travel/airline...<b>flights</b>.../4723966002/,"Feb 11, 2020 <b>...</b> American Airlines on Tuesday said it won&#39;t resume <b>flights</b> to mainland China and <br>
<b>Hong Kong</b> until late April, a month or two longer than previous&nbsp;...",suspended <b>flights</b> to China and <b>Hong Kong</b>,customsearch#result,"{'cse_thumbnail': [{'src': 'https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQZV09MlrMhJJ1gSyjNgfDu2fLNBXhgjb0IHGhnvlpL8Tmt6X_kKF6kCNAJ', 'width': '300', 'height': '168'}], 'metatags': [{'og:image': 'https://www.gannett-cdn.com/presto/2019/05/01/USAT/0e073694-ef7b-4325-b237-678d21b2c392-2019_05_May_avgeek_gallery_USAT-18.jpg?crop=1199,674,x1,y87&width=1199&height=674&format=pjpg&auto=webp', 'og:image:width': '1199', 'og:type': 'article', 'twitter:card': 'summary_large_image', 'twitter:title': 'United joins American, Delta in suspending China flights until late April', 'og:site_name': 'USA TODAY', 'og:title': 'United joins American, Delta in suspending China flights until late April', 'og:image:height': '674', 'google': 'notranslate', 'og:description': ""United, which was scheduled to resume flights to China in late March and Hong Kong in late February, now says it won't fly there until at least April."", 'fb:pages': '13652355666,48958576760,156345381090801,110471702456365,6566864515,137698179626815,315942225236045,927427260614748,183850168300771,1443524575938047,251228454889939,158095147555989,115535341805950,236655713446291,1621466394844549,250325640686,177037772444433,1972936962947967,2047091012096533,535551216797440', 'twitter:creator': '@usatoday', 'article:author': 'Dawn Gilbertson', 'twitter:image': 'https://www.gannett-cdn.com/presto/2019/05/01/USAT/0e073694-ef7b-4325-b237-678d21b2c392-2019_05_May_avgeek_gallery_USAT-18.jpg?crop=1199,674,x1,y87&width=1199&height=599&format=pjpg&auto=webp', 'fb:app_id': '215046668549694', 'twitter:site': '@usatoday', 'viewport': 'width=device-width,initial-scale=1,minimum-scale=1', 'twitter:description': ""United, which was scheduled to resume flights to China in late March and Hong Kong in late February, now says it won't fly there until at least April."", 'article:content_tier': 'free', 'og:url': 'https://www.usatoday.com/story/travel/airline-news/2020/02/11/coronavirus-american-airlines-wont-resume-china-flights-until-april/4723966002/', 'article:opinion': 'false'}], 'cse_image': [{'src': 'https://www.gannett-cdn.com/presto/2019/05/01/USAT/0e073694-ef7b-4325-b237-678d21b2c392-2019_05_May_avgeek_gallery_USAT-18.jpg?crop=1199,674,x1,y87&width=1199&height=674&format=pjpg&auto=webp'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.482802,0.48,"178,000,000"
flights to hong kong,10,Important travel notices | United Airlines,"Hong Kong: Travel restrictions. Citywide protests and strikes in Hong Kong may 
affect your travel plans. Please check your flight status at united.com or the 
United ...",www.united.com,https://www.united.com/ual/en/us/fly/travel/notices.html,2020-04-01 11:25:53.059369+00:00,178000000,KkTKa4ySpWUJ,https://www.united.com/ual/en/us/fly/travel/notices.html,https://www.united.com/ual/en/us/fly/travel/notices.html,"<b>Hong Kong</b>: Travel restrictions. Citywide protests and strikes in <b>Hong Kong</b> may <br>
affect your travel plans. Please check your <b>flight</b> status at united.com or the <br>
United&nbsp;...",Important travel notices | United Airlines,customsearch#result,"{'cse_thumbnail': [{'src': 'https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQVRU9wLNLNBtKl3orNxm2rgWVIBuxjYK2cdHElQUW-lNAkGiwxu3vE_0DJ', 'width': '143', 'height': '143'}], 'metatags': [{'msapplication-tilecolor': '#004a9b', 'apple-mobile-web-app-status-bar-style': 'black', 'viewport': 'width=device-width, initial-scale=1.0, user-scalable=1', 'apple-mobile-web-app-capable': 'yes', 'apple-mobile-web-app-title': 'Important travel notices | United Airlines', 'og:title': 'Important travel notices | United Airlines', 'msapplication-tileimage': '/ual/Format/images/content/images/apple-touch-icon-144x144-precomposed.png'}], 'cse_image': [{'src': 'https://media.united.com/images/Media%20Database/SDL/United/Logos/ua-together-badge.svg'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.482802,0.48,"178,000,000"
